time,value,n
2006-01-01,87,1
2006-02-01,57,2
2006-03-01,40.666666666666664,3
2006-04-01,32.25,4
2006-05-01,67.8,5
2006-06-01,18.666666666666668,6
2006-07-01,32.142857142857146,7
2006-08-01,12.125,8
2006-09-01,40.77777777777778,9
2006-10-01,11.2,10
2006-11-01,39.09090909090909,11
2006-12-01,19.75,12
2007-01-01,38.07692307692308,13
2007-02-01,38.23076923076923,13
2007-03-01,11.461538461538462,13
2007-04-01,31.307692307692307,13
2007-05-01,15.23076923076923,13
2007-06-01,33.61538461538461,13
2007-07-01,36.61538461538461,13
2007-08-01,20.384615384615383,13
2007-09-01,33.92307692307692,13
2007-10-01,31.76923076923077,13
2007-11-01,46.38461538461539,13
2007-12-01,32.46153846153846,13
2008-01-01,66,13
2008-02-01,49.76923076923077,13
2008-03-01,47.23076923076923,13
2008-04-01,59.69230769230769,13
2008-05-01,57.30769230769231,13
2008-06-01,56.38461538461539,13
2008-07-01,53.46153846153846,13
2008-08-01,40.61538461538461,13
2008-09-01,33.15384615384615,13
2008-10-01,92.76923076923077,13
2008-11-01,57.76923076923077,13
2008-12-01,35.61538461538461,13
2009-01-01,48.15384615384615,13
2009-02-01,71.76923076923077,13
2009-03-01,81.84615384615384,13
2009-04-01,63.38461538461539,13
2009-05-01,52,13
2009-06-01,40.76923076923077,13
2009-07-01,24.46153846153846,13
2009-08-01,47.38461538461539,13
2009-09-01,46.15384615384615,13
2009-10-01,28.615384615384617,13
2009-11-01,55.07692307692308,13
2009-12-01,34.61538461538461,13
2010-01-01,39.69230769230769,13
2010-02-01,29,13
2010-03-01,42,13
2010-04-01,25.46153846153846,13
2010-05-01,79.6923076923077,13
2010-06-01,45.30769230769231,13
2010-07-01,24.384615384615383,13
2010-08-01,21.076923076923077,13
2010-09-01,25.23076923076923,13
2010-10-01,37.53846153846154,13
2010-11-01,57.53846153846154,13
2010-12-01,42.53846153846154,13
2011-01-01,51.76923076923077,13
2011-02-01,50.53846153846154,13
2011-03-01,50.30769230769231,13
2011-04-01,50.07692307692308,13
2011-05-01,60.69230769230769,13
2011-06-01,41.84615384615385,13
2011-07-01,37.15384615384615,13
2011-08-01,53.76923076923077,13
2011-09-01,38.92307692307692,13
2011-10-01,54.46153846153846,13
2011-11-01,51,13
2011-12-01,59.38461538461539,13
2012-01-01,62.84615384615385,13
2012-02-01,43.38461538461539,13
2012-03-01,49.38461538461539,13
2012-04-01,44.76923076923077,13
2012-05-01,40.61538461538461,13
2012-06-01,34.23076923076923,13
2012-07-01,40.23076923076923,13
2012-08-01,32.38461538461539,13
2012-09-01,57.46153846153846,13
2012-10-01,44,13
2012-11-01,32.46153846153846,13
2012-12-01,38.76923076923077,13
2013-01-01,44.46153846153846,13
2013-02-01,31.692307692307693,13
2013-03-01,45.53846153846154,13
2013-04-01,40.69230769230769,13
2013-05-01,46.23076923076923,13
2013-06-01,34.61538461538461,13
2013-07-01,19.846153846153847,13
2013-08-01,27.153846153846153,13
2013-09-01,31,13
2013-10-01,42.92307692307692,13
2013-11-01,38.61538461538461,13
2013-12-01,44.07692307692308,13
2014-01-01,54.38461538461539,13
2014-02-01,30.153846153846153,13
2014-03-01,31.846153846153847,13
2014-04-01,43.92307692307692,13
2014-05-01,34.84615384615385,13
2014-06-01,40.76923076923077,13
2014-07-01,35.15384615384615,13
2014-08-01,24.307692307692307,13
2014-09-01,47.76923076923077,13
2014-10-01,51.92307692307692,13
2014-11-01,45.92307692307692,13
2014-12-01,45,13
2015-01-01,52.84615384615385,13
2015-02-01,46.46153846153846,13
2015-03-01,36,13
2015-04-01,34.92307692307692,13
2015-05-01,31.846153846153847,13
2015-06-01,35.53846153846154,13
2015-07-01,23.846153846153847,13
2015-08-01,24.846153846153847,13
2015-09-01,24.384615384615383,13
2015-10-01,29.923076923076923,13
2015-11-01,39.15384615384615,13
2015-12-01,32.69230769230769,13
2016-01-01,38.53846153846154,13
2016-02-01,34.69230769230769,13
2016-03-01,28.53846153846154,13
2016-04-01,28.846153846153847,13
2016-05-01,30.384615384615383,13
2016-06-01,25.692307692307693,13
2016-07-01,13,13
2016-08-01,20.46153846153846,13
2016-09-01,23.846153846153847,13
2016-10-01,29.923076923076923,13
2016-11-01,38.69230769230769,13
2016-12-01,37.38461538461539,13
2017-01-01,43.53846153846154,13
2017-02-01,41.30769230769231,13
2017-03-01,44.38461538461539,13
2017-04-01,28.692307692307693,13
2017-05-01,33.15384615384615,13
2017-06-01,32.92307692307692,13
2017-07-01,29.692307692307693,13
2017-08-01,22.23076923076923,13
2017-09-01,26.153846153846153,13
2017-10-01,39.53846153846154,13
2017-11-01,51.07692307692308,13
2017-12-01,41.15384615384615,13
2018-01-01,36.61538461538461,13
2018-02-01,36.07692307692308,13
2018-03-01,33,13
2018-04-01,36.30769230769231,13
2018-05-01,27.384615384615383,13
2018-06-01,29.76923076923077,13
2018-07-01,21.46153846153846,13
2018-08-01,29.76923076923077,13
2018-09-01,27.846153846153847,13
2018-10-01,30.307692307692307,13
2018-11-01,54.92307692307692,13
2018-12-01,39.92307692307692,13
2019-01-01,38.92307692307692,13
2019-02-01,35.69230769230769,13
2019-03-01,36,13
2019-04-01,33.30769230769231,13
2019-05-01,24.692307692307693,13
2019-06-01,31.23076923076923,13
2019-07-01,21.923076923076923,13
2019-08-01,19.153846153846153,13
2019-09-01,35.38461538461539,13
2019-10-01,33.30769230769231,13
2019-11-01,34.53846153846154,13
2019-12-01,32.15384615384615,13
2020-01-01,40.84615384615385,13
2020-02-01,29.153846153846153,13
2020-03-01,58.76923076923077,13
2020-04-01,70.15384615384616,13
2020-05-01,52.46153846153846,13
2020-06-01,45.46153846153846,13
2020-07-01,35,13
2020-08-01,35.53846153846154,13
2020-09-01,51.92307692307692,13
2020-10-01,30.76923076923077,13
2020-11-01,41.61538461538461,13
2020-12-01,51.53846153846154,13
2021-01-01,58.15384615384615,13
2021-02-01,62.916666666666664,12
2021-03-01,62.90909090909091,11
2021-04-01,47.4,10
2021-05-01,66.55555555555556,9
2021-06-01,62,8
2021-07-01,42.714285714285715,7
2021-08-01,53,6
2021-09-01,64.2,5
2021-10-01,59.75,4
2021-11-01,65,3
2021-12-01,79.5,2
2022-01-01,100,1
