time,value,n
2006-01-01,0,1
2006-01-08,0,1
2006-01-15,24,1
2006-01-22,24,1
2006-01-29,74,1
2006-02-05,0,1
2006-02-12,0,1
2006-02-19,0,1
2006-02-26,48,1
2006-03-05,0,1
2006-03-12,23,1
2006-03-19,0,2
2006-03-26,27.5,2
2006-04-02,32,2
2006-04-09,0,2
2006-04-16,13.5,2
2006-04-23,0,2
2006-04-30,0,2
2006-05-07,12,2
2006-05-14,23.5,2
2006-05-21,58,2
2006-05-28,40,2
2006-06-04,0,3
2006-06-11,49.666666666666664,3
2006-06-18,0,3
2006-06-25,10.666666666666666,3
2006-07-02,19.666666666666668,3
2006-07-09,30.333333333333332,3
2006-07-16,19,3
2006-07-23,29.333333333333332,3
2006-07-30,0,3
2006-08-06,19,3
2006-08-13,0,3
2006-08-20,0,4
2006-08-27,16.75,4
2006-09-03,0,4
2006-09-10,40,4
2006-09-17,0,4
2006-09-24,30.75,4
2006-10-01,0,4
2006-10-08,0,4
2006-10-15,11.75,4
2006-10-22,19.5,4
2006-10-29,0,4
2006-11-05,10,5
2006-11-12,29,5
2006-11-19,46,5
2006-11-26,13.8,5
2006-12-03,14.4,5
2006-12-10,12,5
2006-12-17,4.2,5
2006-12-24,0,5
2006-12-31,33.4,5
2007-01-07,37.8,5
2007-01-14,23.6,5
2007-01-21,19.666666666666668,6
2007-01-28,13,6
2007-02-04,17.833333333333332,6
2007-02-11,25.333333333333332,6
2007-02-18,22.833333333333332,6
2007-02-25,7.166666666666667,6
2007-03-04,5.5,6
2007-03-11,12,6
2007-03-18,0,6
2007-03-25,0,6
2007-04-01,0,6
2007-04-08,54,7
2007-04-15,25.571428571428573,7
2007-04-22,18.142857142857142,7
2007-04-29,2.857142857142857,7
2007-05-06,8.428571428571429,7
2007-05-13,15,7
2007-05-20,8.142857142857142,7
2007-05-27,11.714285714285714,7
2007-06-03,42,7
2007-06-10,21.428571428571427,7
2007-06-17,14.571428571428571,7
2007-06-24,0,8
2007-07-01,23,8
2007-07-08,44.875,8
2007-07-15,0,8
2007-07-22,25.375,8
2007-07-29,14.875,8
2007-08-05,2.75,8
2007-08-12,0,8
2007-08-19,16.75,8
2007-08-26,5.75,8
2007-09-02,0,8
2007-09-09,2.2222222222222223,9
2007-09-16,30.11111111111111,9
2007-09-23,31.333333333333332,9
2007-09-30,9.777777777777779,9
2007-10-07,22.22222222222222,9
2007-10-14,28.77777777777778,9
2007-10-21,6.111111111111111,9
2007-10-28,15.222222222222221,9
2007-11-04,31.77777777777778,9
2007-11-11,24.11111111111111,9
2007-11-18,13.333333333333334,9
2007-11-25,47.1,10
2007-12-02,13.2,10
2007-12-09,38.9,10
2007-12-16,13.1,10
2007-12-23,0,10
2007-12-30,23.9,10
2008-01-06,28.6,10
2008-01-13,38.3,10
