time,value,n
2006-01-01,0,2
2006-02-01,0.75,4
2006-03-01,0,5
2006-04-01,0,6
2006-05-01,0,7
2006-06-01,0,8
2006-07-01,0,9
2006-08-01,0,10
2006-09-01,0,11
2006-10-01,0,12
2006-11-01,0,13
2006-12-01,0.5,14
2007-01-01,0,15
2007-02-01,0,15
2007-03-01,0,15
2007-04-01,0,15
2007-05-01,0,15
2007-06-01,0,15
2007-07-01,0,15
2007-08-01,0,15
2007-09-01,0,15
2007-10-01,0,15
2007-11-01,0,15
2007-12-01,0,15
2008-01-01,0,15
2008-02-01,0,15
2008-03-01,0,15
2008-04-01,0,15
2008-05-01,0,15
2008-06-01,0,15
2008-07-01,0,15
2008-08-01,0,15
2008-09-01,0,15
2008-10-01,0.2,15
2008-11-01,0.8666666666666668,15
2008-12-01,0.8,15
2009-01-01,3.6,15
2009-02-01,4.666666666666667,15
2009-03-01,2.8,15
2009-04-01,2.466666666666667,15
2009-05-01,1.6666666666666667,15
2009-06-01,2,15
2009-07-01,1.0666666666666667,15
2009-08-01,1.0666666666666667,15
2009-09-01,0.3333333333333333,15
2009-10-01,0.6,15
2009-11-01,0.5333333333333333,15
2009-12-01,0.3333333333333333,15
2010-01-01,0.3333333333333333,15
2010-02-01,0.4000000000000001,15
2010-03-01,0.06666666666666667,15
2010-04-01,0,15
2010-05-01,0,15
2010-06-01,0.20000000000000004,15
2010-07-01,0,15
2010-08-01,0,15
2010-09-01,0,15
2010-10-01,0,15
2010-11-01,0.06666666666666667,15
2010-12-01,0,15
2011-01-01,0,15
2011-02-01,0,15
2011-03-01,0,15
2011-04-01,0,15
2011-05-01,0,15
2011-06-01,0,15
2011-07-01,0,15
2011-08-01,0,15
2011-09-01,0,15
2011-10-01,0,15
2011-11-01,0,15
2011-12-01,0,15
2012-01-01,0,15
2012-02-01,0,15
2012-03-01,0,15
2012-04-01,0,15
2012-05-01,0,15
2012-06-01,0.06666666666666667,15
2012-07-01,0,15
2012-08-01,0,15
2012-09-01,0,15
2012-10-01,0,15
2012-11-01,0,15
2012-12-01,0.13333333333333333,15
2013-01-01,0,15
2013-02-01,0,15
2013-03-01,0,15
2013-04-01,0,15
2013-05-01,0,15
2013-06-01,0,15
2013-07-01,0,15
2013-08-01,0,15
2013-09-01,0,15
2013-10-01,0,15
2013-11-01,0,15
2013-12-01,0,15
2014-01-01,0,15
2014-02-01,0,15
2014-03-01,0,15
2014-04-01,0,15
2014-05-01,0,15
2014-06-01,0,15
2014-07-01,0,15
2014-08-01,0,15
2014-09-01,0,15
2014-10-01,0,15
2014-11-01,0,15
2014-12-01,0,15
2015-01-01,0,15
2015-02-01,0,15
2015-03-01,0,15
2015-04-01,0,15
2015-05-01,0,15
2015-06-01,0,15
2015-07-01,0,15
2015-08-01,0,15
2015-09-01,0,15
2015-10-01,0,15
2015-11-01,0,15
2015-12-01,0,15
2016-01-01,0,15
2016-02-01,0,15
2016-03-01,0,15
2016-04-01,0,15
2016-05-01,0,15
2016-06-01,0,15
2016-07-01,0,15
2016-08-01,0.06666666666666667,15
2016-09-01,0,15
2016-10-01,0,15
2016-11-01,0,15
2016-12-01,0,15
2017-01-01,0,15
2017-02-01,0,15
2017-03-01,0,15
2017-04-01,0,15
2017-05-01,0,15
2017-06-01,0,15
2017-07-01,0,15
2017-08-01,0,15
2017-09-01,0,15
2017-10-01,0,15
2017-11-01,0,15
2017-12-01,0,15
2018-01-01,0,15
2018-02-01,0,15
2018-03-01,0,15
2018-04-01,0,15
2018-05-01,0,15
2018-06-01,0,15
2018-07-01,0,15
2018-08-01,0,15
2018-09-01,0,15
2018-10-01,0,15
2018-11-01,0,15
2018-12-01,0,15
2019-01-01,0,15
2019-02-01,0,15
2019-03-01,0,15
2019-04-01,0,15
2019-05-01,0,15
2019-06-01,0,15
2019-07-01,0,15
2019-08-01,0,15
2019-09-01,0,15
2019-10-01,0,15
2019-11-01,0,15
2019-12-01,0,15
2020-01-01,0,15
2020-02-01,0.13333333333333333,15
2020-03-01,100,15
2020-04-01,56,15
2020-05-01,36.266666666666666,15
2020-06-01,22.8,15
2020-07-01,12.600000000000001,15
2020-08-01,9.466666666666667,15
2020-09-01,10.866666666666669,15
2020-10-01,7.933333333333334,15
2020-11-01,14.133333333333333,15
2020-12-01,7.2,15
2021-01-01,9.133333333333331,15
2021-02-01,9.857142857142858,14
2021-03-01,8.461538461538462,13
2021-04-01,7.416666666666667,12
2021-05-01,5,11
2021-06-01,3.9,10
2021-07-01,2.4444444444444446,9
2021-08-01,2,8
2021-09-01,1.2857142857142858,7
2021-10-01,2,6
2021-11-01,6.4,5
2021-12-01,5.75,4
2022-01-01,3.6666666666666665,3
2022-02-01,2.5,2
