time,value,n
2006-01-01,87,1
2006-01-08,28,1
2006-01-15,28,1
2006-01-22,28,1
2006-01-29,43,1
2006-02-05,51,1
2006-02-12,29,1
2006-02-19,29,1
2006-02-26,21,1
2006-03-05,34,1
2006-03-12,13,1
2006-03-19,14,2
2006-03-26,35,2
2006-04-02,21,2
2006-04-09,31,2
2006-04-16,16,2
2006-04-23,21,2
2006-04-30,37,2
2006-05-07,21,2
2006-05-14,47,2
2006-05-21,22,2
2006-05-28,58,2
2006-06-04,36,3
2006-06-11,24,3
2006-06-18,29,3
2006-06-25,22,3
2006-07-02,38,3
2006-07-09,15,3
2006-07-16,32,3
2006-07-23,15,3
2006-07-30,22,3
2006-08-06,35,3
2006-08-13,32,3
2006-08-20,63,4
2006-08-27,27,4
2006-09-03,34,4
2006-09-10,46,4
2006-09-17,50,4
2006-09-24,57,4
2006-10-01,67,4
2006-10-08,18,4
2006-10-15,41,4
2006-10-22,32,4
2006-10-29,25,4
2006-11-05,23,5
2006-11-12,55,5
2006-11-19,54,5
2006-11-26,22,5
2006-12-03,29,5
2006-12-10,28,5
2006-12-17,6,5
2006-12-24,39,5
2006-12-31,31,5
2007-01-07,34,5
2007-01-14,39,5
2007-01-21,19,6
2007-01-28,30,6
2007-02-04,36,6
2007-02-11,45,6
2007-02-18,21,6
2007-02-25,71,6
2007-03-04,39,6
2007-03-11,25,6
2007-03-18,42,6
2007-03-25,49,6
2007-04-01,44,6
2007-04-08,50,7
2007-04-15,25,7
2007-04-22,25,7
2007-04-29,36,7
2007-05-06,27,7
2007-05-13,34,7
2007-05-20,38,7
2007-05-27,33,7
2007-06-03,34,7
2007-06-10,9,7
2007-06-17,9,7
2007-06-24,38,8
2007-07-01,53,8
2007-07-08,25,8
2007-07-15,33,8
2007-07-22,20,8
2007-07-29,30,8
2007-08-05,24,8
2007-08-12,26,8
2007-08-19,51,8
2007-08-26,18,8
2007-09-02,39,8
2007-09-09,31,9
2007-09-16,52,9
2007-09-23,58,9
2007-09-30,61,9
2007-10-07,24,9
2007-10-14,36,9
2007-10-21,40,9
2007-10-28,21,9
2007-11-04,34,9
2007-11-11,33,9
2007-11-18,29,9
2007-11-25,48,10
2007-12-02,23,10
2007-12-09,41,10
2007-12-16,24,10
2007-12-23,33,10
2007-12-30,18,10
2008-01-06,39,10
2008-01-13,35,10
2008-01-20,31,10
2008-01-27,20,10
2008-02-03,46,10
2008-02-10,37,11
2008-02-17,32,11
2008-02-24,31,11
2008-03-02,47,11
2008-03-09,14,11
2008-03-16,39,11
2008-03-23,36,11
2008-03-30,28,11
2008-04-06,24,11
2008-04-13,21,11
2008-04-20,31,11
2008-04-27,43,12
2008-05-04,29,12
2008-05-11,39,12
2008-05-18,14,12
2008-05-25,54,12
2008-06-01,44,12
2008-06-08,18,12
2008-06-15,36,12
2008-06-22,56,12
2008-06-29,35,12
2008-07-06,23,12
2008-07-13,34,13
2008-07-20,19,13
2008-07-27,32,13
2008-08-03,43,13
2008-08-10,32,13
2008-08-17,45,13
2008-08-24,34,13
2008-08-31,40,13
2008-09-07,24,13
2008-09-14,23,13
2008-09-21,36,13
2008-09-28,42,14
2008-10-05,45,14
2008-10-12,31,14
2008-10-19,44,14
2008-10-26,38,14
2008-11-02,38,14
2008-11-09,48,14
2008-11-16,50,14
2008-11-23,52,14
2008-11-30,36,14
2008-12-07,38,14
2008-12-14,31,15
2008-12-21,16,15
2008-12-28,24,15
2009-01-04,46,15
2009-01-11,37,15
2009-01-18,69,15
2009-01-25,83,15
2009-02-01,48,15
2009-02-08,37,15
2009-02-15,80,15
2009-02-22,79,15
2009-03-01,82,16
2009-03-08,72,16
2009-03-15,39,16
2009-03-22,53,16
2009-03-29,65,16
2009-04-05,58,16
2009-04-12,46,16
2009-04-19,75,16
2009-04-26,55,16
2009-05-03,57,16
2009-05-10,67,16
2009-05-17,52,17
2009-05-24,66,17
2009-05-31,45,17
2009-06-07,34,17
2009-06-14,61,17
2009-06-21,72,17
2009-06-28,59,17
2009-07-05,68,17
2009-07-12,49,17
2009-07-19,27,17
2009-07-26,53,17
2009-08-02,59,18
2009-08-09,58,18
2009-08-16,45,18
2009-08-23,53,18
2009-08-30,54,18
2009-09-06,36,18
2009-09-13,51,18
2009-09-20,69,18
2009-09-27,100,18
2009-10-04,86,18
2009-10-11,58,18
2009-10-18,75.21052631578948,19
2009-10-25,40.10526315789474,19
2009-11-01,62.21052631578947,19
2009-11-08,57.1578947368421,19
2009-11-15,53.1578947368421,19
2009-11-22,57.1578947368421,19
2009-11-29,86.21052631578948,19
2009-12-06,33.10526315789474,19
2009-12-13,38.10526315789474,19
2009-12-20,37.10526315789474,19
2009-12-27,40.10526315789474,19
2010-01-03,57.3,20
2010-01-10,79.5,20
2010-01-17,71.4,20
2010-01-24,68.4,20
2010-01-31,76.4,20
2010-02-07,45.3,20
2010-02-14,61.3,20
2010-02-21,65.4,20
2010-02-28,63.3,20
2010-03-07,73.4,20
2010-03-14,66.3,20
2010-03-21,50.285714285714285,21
2010-03-28,52.42857142857143,21
2010-04-04,35.285714285714285,21
2010-04-11,55.42857142857143,21
2010-04-18,55.57142857142857,21
2010-04-25,66.42857142857143,21
2010-05-02,54.42857142857143,21
2010-05-09,41.285714285714285,21
2010-05-16,46.285714285714285,21
2010-05-23,43.285714285714285,21
2010-05-30,20.285714285714285,21
2010-06-06,58.54545454545455,22
2010-06-13,63.72727272727273,22
2010-06-20,65.54545454545455,22
2010-06-27,95.9090909090909,22
2010-07-04,66.72727272727273,22
2010-07-11,40.36363636363637,22
2010-07-18,32.36363636363637,22
2010-07-25,71.72727272727273,22
2010-08-01,50.54545454545455,22
2010-08-08,57.54545454545455,22
2010-08-15,34.36363636363637,22
2010-08-22,57.69565217391305,23
2010-08-29,59.869565217391305,23
2010-09-05,49.69565217391305,23
2010-09-12,74.91304347826087,23
2010-09-19,32.43478260869565,23
2010-09-26,60.69565217391305,23
2010-10-03,57.69565217391305,23
2010-10-10,26.217391304347824,23
2010-10-17,42.65217391304348,23
2010-10-24,61.69565217391305,23
2010-10-31,46.69565217391305,23
2010-11-07,56.833333333333336,24
2010-11-14,50.833333333333336,24
2010-11-21,59.833333333333336,24
2010-11-28,40.5,24
2010-12-05,35.583333333333336,24
2010-12-12,35.5,24
2010-12-19,37.5,24
2010-12-26,38.583333333333336,24
2011-01-02,41.608695652173914,23
2011-01-09,68.1304347826087,23
2011-01-16,44.78260869565217,23
2011-01-23,42.708333333333336,24
2011-01-30,45.875,24
2011-02-06,56,24
2011-02-13,43.708333333333336,24
2011-02-20,49.875,24
2011-02-27,54,24
2011-03-06,38.708333333333336,24
2011-03-13,43.875,24
2011-03-20,58.04347826086956,23
2011-03-27,41.73913043478261,23
2011-04-03,56.04347826086956,23
2011-04-10,46.833333333333336,24
2011-04-17,50,24
2011-04-24,38.666666666666664,24
2011-05-01,43.833333333333336,24
2011-05-08,42.833333333333336,24
2011-05-15,56.166666666666664,24
2011-05-22,52.833333333333336,24
2011-05-29,50,24
2011-06-05,33.869565217391305,23
2011-06-12,31.695652173913043,23
2011-06-19,61.21739130434783,23
2011-06-26,61.333333333333336,24
2011-07-03,62.333333333333336,24
2011-07-10,47.125,24
2011-07-17,41.75,24
2011-07-24,39.125,24
2011-07-31,66.70833333333333,24
2011-08-07,53.125,24
2011-08-14,54.333333333333336,24
2011-08-21,51.17391304347826,23
2011-08-28,79.17391304347827,23
2011-09-04,77.78260869565217,23
2011-09-11,80.91666666666667,24
2011-09-18,61.5,24
2011-09-25,62.5,24
2011-10-02,80.33333333333333,24
2011-10-09,59.5,24
2011-10-16,57.5,24
2011-10-23,49.5,24
2011-10-30,75.91666666666667,24
2011-11-06,72,23
2011-11-13,67.73913043478261,23
2011-11-20,48.130434782608695,23
2011-11-27,95.875,24
2011-12-04,41.208333333333336,24
2011-12-11,54.208333333333336,24
2011-12-18,54.666666666666664,24
2011-12-25,61.666666666666664,24
2012-01-01,56.666666666666664,24
2012-01-08,78.125,24
2012-01-15,66.66666666666667,24
2012-01-22,70.21739130434783,23
2012-01-29,76.21739130434783,23
2012-02-05,57.43478260869565,23
2012-02-12,57.833333333333336,24
2012-02-19,62.833333333333336,24
2012-02-26,77.33333333333333,24
2012-03-04,41.333333333333336,24
2012-03-11,46.333333333333336,24
2012-03-18,69.83333333333333,24
2012-03-25,64.83333333333333,24
2012-04-01,50.333333333333336,24
2012-04-08,50.833333333333336,24
2012-04-15,49.391304347826086,23
2012-04-22,57.91304347826087,23
2012-04-29,62,24
2012-05-06,55.458333333333336,24
2012-05-13,32.083333333333336,24
2012-05-20,39.458333333333336,24
2012-05-27,48.458333333333336,24
2012-06-03,53.625,24
2012-06-10,46.625,24
2012-06-17,47.458333333333336,24
2012-06-24,56.625,24
2012-07-01,52.08695652173913,23
2012-07-08,67.08695652173913,23
2012-07-15,44.583333333333336,24
2012-07-22,49.583333333333336,24
2012-07-29,64.75,24
2012-08-05,61.75,24
2012-08-12,36.583333333333336,24
2012-08-19,57.166666666666664,24
2012-08-26,69.75,24
2012-09-02,89.33333333333333,24
2012-09-09,41.583333333333336,24
2012-09-16,59.26086956521739,23
2012-09-23,56.82608695652174,23
2012-09-30,57.333333333333336,24
2012-10-07,71.95833333333333,24
2012-10-14,48.708333333333336,24
2012-10-21,43.708333333333336,24
2012-10-28,46.875,24
2012-11-04,54.333333333333336,24
2012-11-11,64.5,24
2012-11-18,58.333333333333336,24
2012-11-25,65.95833333333333,24
2012-12-02,64.43478260869566,23
2012-12-09,56.43478260869565,23
2012-12-16,43.833333333333336,24
2012-12-23,38.833333333333336,24
2012-12-30,37.333333333333336,24
2013-01-06,71.5,24
2013-01-13,58,24
2013-01-20,53,24
2013-01-27,74.16666666666667,24
2013-02-03,55,24
2013-02-10,49,24
2013-02-17,66.30434782608695,23
2013-02-24,74.30434782608695,23
2013-03-03,71.58333333333333,24
2013-03-10,53.375,24
2013-03-17,49.416666666666664,24
2013-03-24,40.666666666666664,24
2013-03-31,61,24
2013-04-07,58,24
2013-04-14,33.041666666666664,24
2013-04-21,54.041666666666664,24
2013-04-28,56.130434782608695,23
2013-05-05,56.130434782608695,23
2013-05-12,44.69565217391305,23
2013-05-19,48,24
2013-05-26,49.666666666666664,24
2013-06-02,51.666666666666664,24
2013-06-09,51.166666666666664,24
2013-06-16,47.75,24
2013-06-23,57.583333333333336,24
2013-06-30,64.41666666666667,24
2013-07-07,54.083333333333336,24
2013-07-14,41.391304347826086,23
2013-07-21,69.08695652173913,23
2013-07-28,66.17391304347827,23
2013-08-04,61.666666666666664,24
2013-08-11,50.25,24
2013-08-18,49.25,24
2013-08-25,53.125,24
2013-09-01,69.41666666666667,24
2013-09-08,56.125,24
2013-09-15,66.54166666666667,24
2013-09-22,89.29166666666667,24
2013-09-29,70.47826086956522,23
2013-10-06,72.34782608695652,23
2013-10-13,62.91304347826087,23
2013-10-20,55.666666666666664,24
2013-10-27,59.5,24
2013-11-03,62.166666666666664,24
2013-11-10,50.833333333333336,24
2013-11-17,66,24
2013-11-24,58.5,24
2013-12-01,52.166666666666664,24
2013-12-08,51.833333333333336,24
2013-12-15,51.869565217391305,23
2013-12-22,30.17391304347826,23
2013-12-29,61.69565217391305,23
2014-01-05,48.416666666666664,24
2014-01-12,66.58333333333333,24
2014-01-19,56,24
2014-01-26,69.25,24
2014-02-02,60.791666666666664,24
2014-02-09,56.208333333333336,24
2014-02-16,55.208333333333336,24
2014-02-23,66.45833333333333,24
2014-03-02,71.26086956521739,23
2014-03-09,61.17391304347826,23
2014-03-16,53.21739130434783,23
2014-03-23,66.66666666666667,24
2014-03-30,79.83333333333333,24
2014-04-06,49.083333333333336,24
2014-04-13,52.75,24
2014-04-20,38.333333333333336,24
2014-04-27,34.583333333333336,24
2014-05-04,61.166666666666664,24
2014-05-11,56.5,24
2014-05-18,41.56521739130435,23
2014-05-25,56.47826086956522,23
2014-06-01,50,23
2014-06-08,52.291666666666664,24
2014-06-15,41.208333333333336,24
2014-06-22,71.79166666666667,24
2014-06-29,67.08333333333333,24
2014-07-06,47.583333333333336,24
2014-07-13,59.666666666666664,24
2014-07-20,58.708333333333336,24
2014-07-27,69.08333333333333,24
2014-08-03,56.95652173913044,23
2014-08-10,36.95652173913044,23
2014-08-17,67.04347826086956,23
2014-08-24,72.83333333333333,24
2014-08-31,85.83333333333333,24
2014-09-07,65,24
2014-09-14,83.16666666666667,24
2014-09-21,67.5,24
2014-09-28,76.5,24
2014-10-05,53.833333333333336,24
2014-10-12,63.833333333333336,24
2014-10-19,37.52173913043478,23
2014-10-26,60.608695652173914,23
2014-11-02,72.56521739130434,23
2014-11-09,45,24
2014-11-16,57.5,24
2014-11-23,53.375,24
2014-11-30,56.875,24
2014-12-07,58.5,24
2014-12-14,54.375,24
2014-12-21,31.5,24
2014-12-28,42.5,24
2015-01-04,60.869565217391305,23
2015-01-11,62.869565217391305,23
2015-01-18,71.69565217391305,23
2015-01-25,71.16666666666667,24
2015-02-01,68.58333333333333,24
2015-02-08,58.833333333333336,24
2015-02-15,51.666666666666664,24
2015-02-22,70.58333333333333,24
2015-03-01,62.416666666666664,24
2015-03-08,49.666666666666664,24
2015-03-15,52.666666666666664,24
2015-03-22,57.56521739130435,23
2015-03-29,80.52173913043478,23
2015-04-05,41.73913043478261,23
2015-04-12,59,24
2015-04-19,52.041666666666664,24
2015-04-26,63,24
2015-05-03,61.041666666666664,24
2015-05-10,55.5,24
2015-05-17,52.583333333333336,24
2015-05-24,31.75,24
2015-05-31,42.625,24
2015-06-07,49.26086956521739,23
2015-06-14,43.869565217391305,23
2015-06-21,62.608695652173914,23
2015-06-28,60.083333333333336,24
2015-07-05,39.416666666666664,24
2015-07-12,45.166666666666664,24
2015-07-19,60.5,24
2015-07-26,83.58333333333333,24
2015-08-02,71.08333333333333,24
2015-08-09,63.833333333333336,24
2015-08-16,41.833333333333336,24
2015-08-23,52.869565217391305,23
2015-08-30,69.08695652173913,23
2015-09-06,55.69565217391305,23
2015-09-13,52.541666666666664,24
2015-09-20,47.875,24
2015-09-27,67.375,24
2015-10-04,59.958333333333336,24
2015-10-11,43.666666666666664,24
2015-10-18,46.875,24
2015-10-25,55.75,24
2015-11-01,60.833333333333336,24
2015-11-08,51,23
2015-11-15,44.08695652173913,23
2015-11-22,40.91304347826087,23
2015-11-29,44.416666666666664,24
2015-12-06,44,24
2015-12-13,36.833333333333336,24
2015-12-20,37.25,24
2015-12-27,31.916666666666668,24
2016-01-03,52.416666666666664,24
2016-01-10,45.25,24
2016-01-17,56.5,24
2016-01-24,53.17391304347826,23
2016-01-31,59.43478260869565,23
2016-02-07,40.82608695652174,23
2016-02-14,51.125,24
2016-02-21,46.583333333333336,24
2016-02-28,66.54166666666667,24
2016-03-06,56.25,24
2016-03-13,50.541666666666664,24
2016-03-20,47.583333333333336,24
2016-03-27,45.416666666666664,24
2016-04-03,65.75,24
2016-04-10,46.791666666666664,24
2016-04-17,51.17391304347826,23
2016-04-24,56.21739130434783,23
2016-05-01,34.25,24
2016-05-08,41.25,24
2016-05-15,45.083333333333336,24
2016-05-22,39.166666666666664,24
2016-05-29,50,24
2016-06-05,36.333333333333336,24
2016-06-12,36.333333333333336,24
2016-06-19,36.333333333333336,24
2016-06-26,52.083333333333336,24
2016-07-03,40.26086956521739,23
2016-07-10,44.34782608695652,23
2016-07-17,31.958333333333332,24
2016-07-24,42.083333333333336,24
2016-07-31,48.083333333333336,24
2016-08-07,39.375,24
2016-08-14,37.375,24
2016-08-21,35.958333333333336,24
2016-08-28,36.958333333333336,24
2016-09-04,44.375,24
2016-09-11,39.666666666666664,24
2016-09-18,35.69565217391305,23
2016-09-25,42.56521739130435,23
2016-10-02,39.75,24
2016-10-09,36.166666666666664,24
2016-10-16,38.5,24
2016-10-23,34.25,24
2016-10-30,45.916666666666664,24
2016-11-06,45.916666666666664,24
2016-11-13,46.833333333333336,24
2016-11-20,58.75,24
2016-11-27,60.666666666666664,24
2016-12-04,36.608695652173914,23
2016-12-11,47.47826086956522,23
2016-12-18,34.666666666666664,24
2016-12-25,31.208333333333332,24
2017-01-01,33.458333333333336,24
2017-01-08,42.416666666666664,24
2017-01-15,46.5,24
2017-01-22,37.125,24
2017-01-29,38.958333333333336,24
2017-02-05,43.25,24
2017-02-12,38.125,24
2017-02-19,43.78260869565217,23
2017-02-26,43.78260869565217,23
2017-03-05,39.416666666666664,24
2017-03-12,42.916666666666664,24
2017-03-19,34.333333333333336,24
2017-03-26,39,24
2017-04-02,37.25,24
2017-04-09,29.666666666666668,24
2017-04-16,30.833333333333332,24
2017-04-23,28.083333333333332,24
2017-04-30,41.17391304347826,23
2017-05-07,38.91304347826087,23
2017-05-14,28.304347826086957,23
2017-05-21,24.47826086956522,23
2017-05-28,39.47826086956522,23
2017-06-04,40.608695652173914,23
2017-06-11,33.391304347826086,23
2017-06-18,40.04347826086956,23
2017-06-25,35.52173913043478,23
2017-07-02,43.869565217391305,23
2017-07-09,37.21739130434783,23
2017-07-16,29.636363636363637,22
2017-07-23,40.54545454545455,22
2017-07-30,30.181818181818183,22
2017-08-06,30.181818181818183,22
2017-08-13,25.818181818181817,22
2017-08-20,27.454545454545453,22
2017-08-27,38.27272727272727,22
2017-09-03,42,22
2017-09-10,31.272727272727273,22
2017-09-17,45.27272727272727,22
2017-09-24,42.09090909090909,22
2017-10-01,45.23809523809524,21
2017-10-08,38,21
2017-10-15,30.714285714285715,21
2017-10-22,33.285714285714285,21
2017-10-29,33.80952380952381,21
2017-11-05,34.857142857142854,21
2017-11-12,34.857142857142854,21
2017-11-19,33.285714285714285,21
2017-11-26,41.61904761904762,21
2017-12-03,31.761904761904763,21
2017-12-10,29.666666666666668,21
2017-12-17,61.5,20
2017-12-24,29.5,20
2017-12-31,47,20
2018-01-07,72.5,20
2018-01-14,50,20
