time,value,n
2014-01-01,0,1
2014-01-02,15,1
2014-01-03,48,1
2014-01-04,35,1
2014-01-05,48,1
2014-01-06,0,1
2014-01-07,40,1
2014-01-08,40,1
2014-01-09,13,1
2014-01-10,29,1
2014-01-11,34,1
2014-01-12,16,1
2014-01-13,39,1
2014-01-14,13,1
2014-01-15,40,1
2014-01-16,69,2
2014-01-17,58,2
2014-01-18,34,2
2014-01-19,15,2
2014-01-20,38,2
2014-01-21,13,2
2014-01-22,13,2
2014-01-23,68,2
2014-01-24,28,2
2014-01-25,17,2
2014-01-26,31,2
2014-01-27,52,2
2014-01-28,13,2
2014-01-29,27,2
2014-01-30,41,2
2014-01-31,29,3
2014-02-01,34,3
2014-02-02,15,3
2014-02-03,39,3
2014-02-04,14,3
2014-02-05,0,3
2014-02-06,21,3
2014-02-07,16,3
2014-02-08,36,3
2014-02-09,48,3
2014-02-10,26,3
2014-02-11,27,3
2014-02-12,54,3
2014-02-13,14,3
2014-02-14,46,3
2014-02-15,56,4
2014-02-16,31,4
2014-02-17,0,4
2014-02-18,40,4
2014-02-19,27,4
2014-02-20,28,4
2014-02-21,30,4
2014-02-22,34,4
2014-02-23,66,4
2014-02-24,39,4
2014-02-25,14,4
2014-02-26,41,4
2014-02-27,28,4
2014-02-28,15,4
2014-03-01,18,4
2014-03-02,16,5
2014-03-03,0,5
2014-03-04,40,5
2014-03-05,13,5
2014-03-06,27,5
2014-03-07,0,5
2014-03-08,37,5
2014-03-09,35,5
2014-03-10,54,5
2014-03-11,28,5
2014-03-12,42,5
2014-03-13,29,5
2014-03-14,16,5
2014-03-15,17,5
2014-03-16,31,5
2014-03-17,27,6
2014-03-18,28,6
2014-03-19,14,6
2014-03-20,29,6
2014-03-21,47,6
2014-03-22,38,6
2014-03-23,15,6
2014-03-24,64,6
2014-03-25,13,6
2014-03-26,14,6
2014-03-27,14,6
2014-03-28,31,6
2014-03-29,0,6
2014-03-30,0,6
2014-03-31,0,6
2014-04-01,56,7
2014-04-02,0,7
2014-04-03,15,7
2014-04-04,16,7
2014-04-05,37,7
2014-04-06,16,7
2014-04-07,28,7
2014-04-08,0,7
2014-04-09,28,7
2014-04-10,28,7
2014-04-11,32,7
2014-04-12,20,7
2014-04-13,34,7
2014-04-14,28,7
2014-04-15,14,7
2014-04-16,15,8
2014-04-17,31,8
2014-04-18,0,8
2014-04-19,41,8
2014-04-20,20,8
2014-04-21,0,8
2014-04-22,27,8
2014-04-23,29,8
2014-04-24,15,8
2014-04-25,16,8
