time,value,n
2006-01-01,46,1
2006-01-02,72,1
2006-01-03,46,1
2006-01-04,51,1
2006-01-05,68,1
2006-01-06,50,1
2006-01-07,59,1
2006-01-08,79,1
2006-01-09,55,1
2006-01-10,66,1
2006-01-11,58,1
2006-01-12,52,1
2006-01-13,73,1
2006-01-14,55,1
2006-01-15,65,1
2006-01-16,58,2
2006-01-17,69.5,2
2006-01-18,53.5,2
2006-01-19,44.5,2
2006-01-20,62,2
2006-01-21,56,2
2006-01-22,61,2
2006-01-23,61,2
2006-01-24,58,2
2006-01-25,69,2
2006-01-26,47.5,2
2006-01-27,55,2
2006-01-28,84,2
2006-01-29,52.5,2
2006-01-30,64,2
2006-01-31,52.333333333333336,3
2006-02-01,39,3
2006-02-02,63.666666666666664,3
2006-02-03,44,3
2006-02-04,57.333333333333336,3
2006-02-05,70.33333333333333,3
2006-02-06,69.66666666666667,3
2006-02-07,63.333333333333336,3
2006-02-08,53.333333333333336,3
2006-02-09,60.333333333333336,3
2006-02-10,56.333333333333336,3
2006-02-11,68.66666666666667,3
2006-02-12,67.66666666666667,3
2006-02-13,69.66666666666667,3
2006-02-14,70.33333333333333,3
2006-02-15,43.75,4
2006-02-16,63,4
2006-02-17,64.25,4
2006-02-18,44.75,4
2006-02-19,66.25,4
2006-02-20,72.25,4
2006-02-21,57,4
2006-02-22,53.75,4
2006-02-23,47,4
2006-02-24,55,4
2006-02-25,68.25,4
2006-02-26,60,4
2006-02-27,55,4
2006-02-28,50,4
2006-03-01,53,4
2006-03-02,70,5
2006-03-03,43.6,5
2006-03-04,48.8,5
2006-03-05,77,5
2006-03-06,79.2,5
2006-03-07,65,5
2006-03-08,72,5
2006-03-09,53.6,5
2006-03-10,52.6,5
2006-03-11,73,5
2006-03-12,52.8,5
2006-03-13,47.6,5
2006-03-14,63.8,5
2006-03-15,73,5
2006-03-16,59.8,5
2006-03-17,43.5,6
2006-03-18,73.83333333333333,6
2006-03-19,70.83333333333333,6
2006-03-20,55.666666666666664,6
2006-03-21,49.5,6
2006-03-22,56.666666666666664,6
2006-03-23,79.83333333333333,6
2006-03-24,45.5,6
2006-03-25,64.83333333333333,6
2006-03-26,68.66666666666667,6
2006-03-27,69.83333333333333,6
2006-03-28,64.66666666666667,6
2006-03-29,56.666666666666664,6
2006-03-30,53.5,6
2006-03-31,52.5,6
2006-04-01,55.57142857142857,7
2006-04-02,71.71428571428571,7
2006-04-03,50.42857142857143,7
2006-04-04,56.57142857142857,7
2006-04-05,64.57142857142857,7
