time,value,n
2006-01-01,0,1
2006-01-02,0,1
2006-01-03,0,1
2006-01-04,0,1
2006-01-05,0,1
2006-01-06,0,1
2006-01-07,0,1
2006-01-08,0,1
2006-01-09,0,1
2006-01-10,0,1
2006-01-11,37,1
2006-01-12,0,1
2006-01-13,0,1
2006-01-14,0,1
2006-01-15,0,1
2006-01-16,0,2
2006-01-17,17.5,2
2006-01-18,17,2
2006-01-19,17,2
2006-01-20,21,2
2006-01-21,0,2
2006-01-22,0,2
2006-01-23,0,2
2006-01-24,0,2
2006-01-25,0,2
2006-01-26,0,2
2006-01-27,0,2
2006-01-28,0,2
2006-01-29,63.5,2
2006-01-30,0,2
2006-01-31,0,3
2006-02-01,0,3
2006-02-02,21.333333333333332,3
2006-02-03,38,3
2006-02-04,0,3
2006-02-05,0,3
2006-02-06,0,3
2006-02-07,0,3
2006-02-08,0,3
2006-02-09,0,3
2006-02-10,0,3
2006-02-11,0,3
2006-02-12,18,3
2006-02-13,0,3
2006-02-14,0,3
2006-02-15,0,4
2006-02-16,0,4
2006-02-17,0,4
2006-02-18,0,4
2006-02-19,38.25,4
2006-02-20,21,4
2006-02-21,0,4
2006-02-22,0,4
2006-02-23,0,4
2006-02-24,42,4
2006-02-25,0,4
2006-02-26,0,4
2006-02-27,0,4
2006-02-28,25.75,4
2006-03-01,27.5,4
2006-03-02,0,5
2006-03-03,0,5
2006-03-04,0,5
2006-03-05,23.4,5
2006-03-06,0,5
2006-03-07,21.6,5
2006-03-08,17.6,5
2006-03-09,33.8,5
2006-03-10,13.4,5
2006-03-11,0,5
2006-03-12,0,5
2006-03-13,0,5
2006-03-14,8.8,5
2006-03-15,28.2,5
2006-03-16,0,5
2006-03-17,0,6
2006-03-18,36.166666666666664,6
2006-03-19,20.166666666666668,6
2006-03-20,0,6
2006-03-21,0,6
2006-03-22,0,6
2006-03-23,19.666666666666668,6
2006-03-24,21.5,6
2006-03-25,41.833333333333336,6
2006-03-26,0,6
2006-03-27,23.166666666666668,6
2006-03-28,0,6
2006-03-29,24.666666666666668,6
2006-03-30,0,6
2006-03-31,0,6
2006-04-01,0,7
2006-04-02,0,7
2006-04-03,12.571428571428571,7
2006-04-04,0,7
2006-04-05,0,7
2006-04-06,0,7
2006-04-07,0,7
2006-04-08,28.571428571428573,7
2006-04-09,0,7
2006-04-10,0,7
2006-04-11,0,7
2006-04-12,0,7
2006-04-13,23.571428571428573,7
2006-04-14,0,7
2006-04-15,0,7
2006-04-16,0,8
2006-04-17,0,8
2006-04-18,72.125,8
2006-04-19,0,8
2006-04-20,0,8
2006-04-21,0,8
2006-04-22,0,8
2006-04-23,0,8
2006-04-24,0,8
2006-04-25,0,8
2006-04-26,20.125,8
2006-04-27,0,8
2006-04-28,0,8
2006-04-29,0,8
2006-04-30,0,8
2006-05-01,22.666666666666668,9
2006-05-02,12.88888888888889,9
2006-05-03,23.22222222222222,9
2006-05-04,0,9
2006-05-05,21.11111111111111,9
2006-05-06,0,9
2006-05-07,0,9
2006-05-08,26.22222222222222,9
2006-05-09,0,9
2006-05-10,23,9
2006-05-11,0,9
2006-05-12,0,9
2006-05-13,0,9
