time,value,n
2014-01-01,0,1
2014-01-02,33,1
2014-01-03,0,1
2014-01-04,0,1
2014-01-05,0,1
2014-01-06,35,1
2014-01-07,0,1
2014-01-08,30,1
2014-01-09,0,1
2014-01-10,0,1
2014-01-11,38,1
2014-01-12,35,1
2014-01-13,0,1
2014-01-14,0,1
2014-01-15,0,1
2014-01-16,0,2
2014-01-17,0,2
2014-01-18,0,2
2014-01-19,0,2
2014-01-20,28,2
2014-01-21,29,2
2014-01-22,0,2
2014-01-23,0,2
2014-01-24,31,2
2014-01-25,0,2
2014-01-26,35,2
2014-01-27,0,2
2014-01-28,0,2
2014-01-29,0,2
2014-01-30,0,2
2014-01-31,0,3
2014-02-01,0,3
2014-02-02,0,3
2014-02-03,29,3
2014-02-04,30,3
2014-02-05,31,3
2014-02-06,0,3
2014-02-07,0,3
2014-02-08,0,3
2014-02-09,0,3
2014-02-10,0,3
2014-02-11,30,3
2014-02-12,0,3
2014-02-13,31,3
2014-02-14,0,3
2014-02-15,0,4
2014-02-16,0,4
2014-02-17,0,4
2014-02-18,0,4
2014-02-19,30,4
2014-02-20,31,4
2014-02-21,0,4
2014-02-22,38,4
2014-02-23,0,4
2014-02-24,58,4
2014-02-25,30,4
2014-02-26,0,4
2014-02-27,0,4
2014-02-28,100,4
2014-03-01,40,4
2014-03-02,0,5
2014-03-03,0,5
2014-03-04,30.6,5
2014-03-05,60.4,5
2014-03-06,92,5
2014-03-07,0,5
2014-03-08,0,5
2014-03-09,0,5
2014-03-10,0,5
2014-03-11,0,5
2014-03-12,0,5
2014-03-13,0,5
2014-03-14,0,5
2014-03-15,38.8,5
2014-03-16,0,5
2014-03-17,0,6
2014-03-18,0,6
2014-03-19,31.333333333333332,6
2014-03-20,33.5,6
2014-03-21,0,6
2014-03-22,0,6
2014-03-23,0,6
2014-03-24,29.166666666666668,6
2014-03-25,62.5,6
2014-03-26,0,6
2014-03-27,0,6
2014-03-28,0,6
2014-03-29,90.83333333333331,6
2014-03-30,0,6
2014-03-31,31.166666666666668,6
2014-04-01,0,7
2014-04-02,0,7
2014-04-03,0,7
2014-04-04,0,7
2014-04-05,43.857142857142854,7
2014-04-06,38.285714285714285,7
2014-04-07,32.857142857142854,7
2014-04-08,0,7
2014-04-09,32.857142857142854,7
2014-04-10,0,7
2014-04-11,0,7
2014-04-12,0,7
2014-04-13,40.42857142857143,7
2014-04-14,32.857142857142854,7
2014-04-15,0,7
2014-04-16,0,8
2014-04-17,0,8
2014-04-18,0,8
2014-04-19,0,8
2014-04-20,0,8
2014-04-21,0,8
2014-04-22,0,8
2014-04-23,0,8
2014-04-24,34.875,8
2014-04-25,37.125,8
2014-04-26,0,8
2014-04-27,0,8
2014-04-28,32.75,8
2014-04-29,0,8
2014-04-30,0,8
2014-05-01,45.22222222222222,9
2014-05-02,0,9
2014-05-03,0,9
2014-05-04,0,9
2014-05-05,0,9
2014-05-06,35.333333333333336,9
2014-05-07,0,9
2014-05-08,0,9
2014-05-09,37.666666666666664,9
2014-05-10,0,9
2014-05-11,37.22222222222222,9
2014-05-12,0,9
2014-05-13,0,9
2014-05-14,0,9
2014-05-15,0,9
2014-05-16,0,10
2014-05-17,0,10
2014-05-18,0,10
2014-05-19,33.5,10
2014-05-20,0,10
2014-05-21,82.1,10
2014-05-22,0,10
2014-05-23,43.1,10
2014-05-24,0,10
2014-05-25,0,10
2014-05-26,0,10
2014-05-27,0,10
2014-05-28,0,10
2014-05-29,44,10
2014-05-30,0,10
2014-05-31,0,11
2014-06-01,0,11
2014-06-02,0,11
2014-06-03,37,11
2014-06-04,39.90909090909091,11
2014-06-05,0,11
2014-06-06,0,11
2014-06-07,0,11
2014-06-08,0,11
2014-06-09,0,11
2014-06-10,0,11
2014-06-11,38,11
2014-06-12,0,11
2014-06-13,83.63636363636364,11
2014-06-14,0,11
2014-06-15,0,12
2014-06-16,0,12
2014-06-17,0,12
2014-06-18,0,12
2014-06-19,0,12
