time,value,n
2014-01-05,33,1
2014-01-12,10,1
2014-01-19,31,1
2014-01-26,10,1
2014-02-02,34,1
2014-02-09,21,1
2014-02-16,31,1
2014-02-23,74,1
2014-03-02,63,1
2014-03-09,11,1
2014-03-16,22,1
2014-03-23,53,2
2014-03-30,23,2
2014-04-06,22,2
2014-04-13,23,2
2014-04-20,23,2
2014-04-27,23,2
2014-05-04,22,2
2014-05-11,10,2
2014-05-18,49,2
2014-05-25,13,2
2014-06-01,25,2
2014-06-08,39,3
2014-06-15,13,3
2014-06-22,25,3
2014-06-29,63,3
2014-07-06,13,3
2014-07-13,66,3
2014-07-20,0,3
2014-07-27,0,3
2014-08-03,0,3
2014-08-10,13,3
2014-08-17,13,3
2014-08-24,25,4
2014-08-31,83,4
2014-09-07,12,4
2014-09-14,0,4
2014-09-21,12,4
2014-09-28,23,4
2014-10-05,35,4
2014-10-12,46,4
2014-10-19,22,4
2014-10-26,34,4
2014-11-02,22,4
2014-11-09,67,5
2014-11-16,46,5
2014-11-23,34,5
2014-11-30,22,5
2014-12-07,11,5
2014-12-14,46,5
2014-12-21,0,5
2014-12-28,25,5
2015-01-04,21,5
2015-01-11,100,5
2015-01-18,30,5
2015-01-25,42,6
2015-02-01,21.5,6
2015-02-08,21.5,6
2015-02-15,32.833333333333336,6
2015-02-22,42,6
2015-03-01,31.833333333333332,6
2015-03-08,42.166666666666664,6
2015-03-15,75.83333333333333,6
2015-03-22,57.5,6
2015-03-29,11.333333333333334,6
2015-04-05,23.5,6
2015-04-12,45,7
2015-04-19,46,7
2015-04-26,11.285714285714286,7
2015-05-03,90,7
2015-05-10,35.42857142857143,7
2015-05-17,32.42857142857143,7
2015-05-24,68.85714285714286,7
2015-05-31,25.142857142857142,7
2015-06-07,22.857142857142858,7
2015-06-14,43,7
2015-06-21,78.42857142857143,7
2015-06-28,36.875,8
2015-07-05,35.875,8
2015-07-12,36.875,8
2015-07-19,0,8
2015-07-26,24.125,8
2015-08-02,0,8
2015-08-09,36.25,8
2015-08-16,11.75,8
2015-08-23,35.25,8
2015-08-30,0,8
2015-09-06,45.625,8
2015-09-13,22.333333333333332,9
2015-09-20,21.333333333333332,9
2015-09-27,0,9
2015-10-04,52.55555555555556,9
2015-10-11,21.333333333333332,9
2015-10-18,21.333333333333332,9
2015-10-25,22.333333333333332,9
2015-11-01,86.77777777777777,9
2015-11-08,32.22222222222222,9
2015-11-15,31.22222222222222,9
2015-11-22,41.888888888888886,9
2015-11-29,19.4,10
2015-12-06,48.7,10
2015-12-13,29.3,10
2015-12-20,0,10
2015-12-27,10.8,10
2016-01-03,31.1,10
2016-01-10,0,10
2016-01-17,29.3,10
2016-01-24,69.4,10
2016-01-31,19.8,10
2016-02-07,60,10
2016-02-14,35.36363636363637,11
2016-02-21,35.36363636363637,11
2016-02-28,17.272727272727273,11
2016-03-06,26.727272727272727,11
2016-03-13,27.545454545454547,11
2016-03-20,38.27272727272727,11
2016-03-27,49,11
2016-04-03,27.545454545454547,11
2016-04-10,38.72727272727273,11
2016-04-17,47.09090909090909,11
2016-04-24,18.545454545454547,11
2016-05-01,18.083333333333332,12
2016-05-08,34.75,12
2016-05-15,26.833333333333332,12
2016-05-22,18.5,12
2016-05-29,17.333333333333332,12
2016-06-05,17.333333333333332,12
2016-06-12,17,12
2016-06-19,35.166666666666664,12
2016-06-26,35.916666666666664,12
2016-07-03,19.25,12
2016-07-10,9.416666666666666,12
2016-07-17,9,13
2016-07-24,9,13
2016-07-31,0,13
2016-08-07,0,13
2016-08-14,0,13
2016-08-21,19,13
2016-08-28,18.076923076923077,13
2016-09-04,0,13
2016-09-11,17.384615384615383,13
2016-09-18,0,13
2016-09-25,26.307692307692307,13
2016-10-02,30.285714285714285,14
2016-10-09,23.142857142857142,14
2016-10-16,0,14
2016-10-23,7.714285714285714,14
2016-10-30,8.071428571428571,14
2016-11-06,7.428571428571429,14
2016-11-13,15.214285714285714,14
2016-11-20,30.285714285714285,14
2016-11-27,22.5,14
