time,value,n
2006-01-01,61,1
2006-01-08,100,1
2006-01-15,25,1
2006-01-22,0,1
2006-01-29,0,1
2006-02-05,0,1
2006-02-12,0,1
2006-02-19,25,1
2006-02-26,24,1
2006-03-05,47,1
2006-03-12,23,1
2006-03-19,0,2
2006-03-26,29,2
2006-04-02,0,2
2006-04-09,63,2
2006-04-16,0,2
2006-04-23,56,2
2006-04-30,30.5,2
2006-05-07,0,2
2006-05-14,0,2
2006-05-21,30.5,2
2006-05-28,53,2
2006-06-04,91.66666666666669,3
2006-06-11,0,3
2006-06-18,0,3
2006-06-25,31,3
2006-07-02,0,3
2006-07-09,33,3
2006-07-16,0,3
2006-07-23,0,3
2006-07-30,31.333333333333332,3
2006-08-06,30.333333333333332,3
2006-08-13,0,3
2006-08-20,0,4
2006-08-27,0,4
2006-09-03,63,4
2006-09-10,30.25,4
2006-09-17,0,4
2006-09-24,0,4
2006-10-01,57.25,4
2006-10-08,0,4
2006-10-15,28,4
2006-10-22,0,4
2006-10-29,0,4
2006-11-05,0,5
2006-11-12,54,5
2006-11-19,26.6,5
2006-11-26,27.4,5
2006-12-03,28.4,5
2006-12-10,0,5
2006-12-17,29.4,5
2006-12-24,0,5
2006-12-31,30.8,5
2007-01-07,24.2,5
2007-01-14,0,5
2007-01-21,0,6
2007-01-28,25.166666666666668,6
2007-02-04,0,6
2007-02-11,26,6
2007-02-18,78.83333333333333,6
2007-02-25,24.166666666666668,6
2007-03-04,0,6
2007-03-11,0,6
2007-03-18,0,6
2007-03-25,0,6
2007-04-01,0,6
2007-04-08,29.142857142857142,7
2007-04-15,0,7
2007-04-22,26.571428571428573,7
2007-04-29,26.571428571428573,7
2007-05-06,23.714285714285715,7
2007-05-13,25.571428571428573,7
2007-05-20,24.714285714285715,7
2007-05-27,24.714285714285715,7
2007-06-03,0,7
2007-06-10,0,7
2007-06-17,24,7
2007-06-24,25.125,8
2007-07-01,25.125,8
2007-07-08,0,8
2007-07-15,28.875,8
2007-07-22,26.125,8
2007-07-29,53,8
2007-08-05,25.375,8
2007-08-12,0,8
2007-08-19,49.5,8
2007-08-26,71,8
2007-09-02,23.5,8
2007-09-09,0,9
2007-09-16,0,9
2007-09-23,22.77777777777778,9
2007-09-30,0,9
2007-10-07,44.55555555555556,9
2007-10-14,21.77777777777778,9
2007-10-21,22.77777777777778,9
2007-10-28,23.444444444444443,9
2007-11-04,20.88888888888889,9
2007-11-11,0,9
2007-11-18,41,9
2007-11-25,41.4,10
2007-12-02,21.1,10
2007-12-09,21.1,10
2007-12-16,0,10
2007-12-23,0,10
2007-12-30,0,10
2008-01-06,0,10
2008-01-13,19.4,10
2008-01-20,19.4,10
2008-01-27,57.1,10
2008-02-03,40.4,10
2008-02-10,41.72727272727273,11
2008-02-17,20.272727272727273,11
2008-02-24,19.545454545454547,11
2008-03-02,0,11
2008-03-09,39,11
2008-03-16,0,11
2008-03-23,0,11
2008-03-30,0,11
2008-04-06,58.27272727272727,11
2008-04-13,38.81818181818182,11
2008-04-20,0,11
2008-04-27,22.333333333333332,12
2008-05-04,21.333333333333332,12
2008-05-11,22.333333333333332,12
2008-05-18,20.416666666666668,12
2008-05-25,20.583333333333332,12
2008-06-01,19.416666666666668,12
2008-06-08,0,12
2008-06-15,0,12
2008-06-22,0,12
2008-06-29,22.333333333333332,12
2008-07-06,43.75,12
2008-07-13,21.53846153846154,13
2008-07-20,0,13
2008-07-27,0,13
2008-08-03,22.46153846153846,13
2008-08-10,22.53846153846154,13
2008-08-17,21.53846153846154,13
2008-08-24,0,13
2008-08-31,0,13
2008-09-07,0,13
2008-09-14,18.76923076923077,13
2008-09-21,0,13
2008-09-28,0,14
2008-10-05,37.714285714285715,14
2008-10-12,17.857142857142858,14
2008-10-19,53.785714285714285,14
2008-10-26,31.214285714285715,14
2008-11-02,0,14
2008-11-09,0,14
2008-11-16,34,14
2008-11-23,0,14
2008-11-30,0,14
2008-12-07,17.928571428571427,14
2008-12-14,17.933333333333334,15
2008-12-21,0,15
2008-12-28,22.666666666666668,15
2009-01-04,0,15
2009-01-11,49.13333333333333,15
2009-01-18,32.13333333333333,15
2009-01-25,16,15
2009-02-01,16.133333333333333,15
2009-02-08,49.13333333333333,15
2009-02-15,33.13333333333333,15
2009-02-22,32.2,15
2009-03-01,31.4375,16
2009-03-08,0,16
2009-03-15,32.25,16
2009-03-22,16.0625,16
2009-03-29,17.0625,16
2009-04-05,59.75,16
2009-04-12,19,16
2009-04-19,17.1875,16
2009-04-26,0,16
2009-05-03,0,16
2009-05-10,47.5,16
2009-05-17,0,17
2009-05-24,31.41176470588235,17
2009-05-31,16.235294117647058,17
2009-06-07,0,17
2009-06-14,63.76470588235294,17
2009-06-21,0,17
2009-06-28,16.235294117647058,17
2009-07-05,34.1764705882353,17
2009-07-12,71.47058823529412,17
2009-07-19,73.29411764705883,17
2009-07-26,0,17
2009-08-02,54.388888888888886,18
2009-08-09,0,18
2009-08-16,0,18
2009-08-23,0,18
2009-08-30,33.44444444444444,18
2009-09-06,0,18
2009-09-13,15.333333333333334,18
2009-09-20,95.44444444444444,18
2009-09-27,0,18
2009-10-04,15.333333333333334,18
2009-10-11,58.333333333333336,18
2009-10-18,29.789473684210527,19
2009-10-25,31.57894736842105,19
2009-11-01,43.1578947368421,19
2009-11-08,57.526315789473685,19
2009-11-15,0,19
2009-11-22,29.789473684210527,19
2009-11-29,29.68421052631579,19
2009-12-06,30.736842105263165,19
2009-12-13,0,19
2009-12-20,0,19
2009-12-27,0,19
2010-01-03,0,20
2010-01-10,0,20
2010-01-17,27.05,20
2010-01-24,26.95,20
2010-01-31,0,20
2010-02-07,27.8,20
2010-02-14,27.9,20
2010-02-21,55.75,20
2010-02-28,27.8,20
2010-03-07,26.95,20
2010-03-14,27.9,20
2010-03-21,44.142857142857146,21
2010-03-28,16.285714285714285,21
2010-04-04,32.666666666666664,21
2010-04-11,14.428571428571429,21
2010-04-18,58.80952380952381,21
2010-04-25,31.714285714285715,21
2010-05-02,30,21
2010-05-09,16.285714285714285,21
2010-05-16,45.142857142857146,21
2010-05-23,17.285714285714285,21
2010-05-30,32.666666666666664,21
