time,value,n
2014-01-05,54,1
2014-01-12,23,1
2014-01-19,46,1
2014-01-26,75,1
2014-02-02,62,1
2014-02-09,47,1
2014-02-16,52,1
2014-02-23,71,1
2014-03-02,23,1
2014-03-09,78,1
2014-03-16,48,1
2014-03-23,53,2
2014-03-30,44,2
2014-04-06,30,2
2014-04-13,51,2
2014-04-20,38,2
2014-04-27,44,2
2014-05-04,30,2
2014-05-11,34,2
2014-05-18,27,2
2014-05-25,56,2
2014-06-01,56,2
2014-06-08,22,3
2014-06-15,21,3
2014-06-22,48,3
2014-06-29,77,3
2014-07-06,49,3
2014-07-13,59,3
2014-07-20,50,3
2014-07-27,71,3
2014-08-03,38,3
2014-08-10,49,3
2014-08-17,63,3
2014-08-24,55,4
2014-08-31,40,4
2014-09-07,26,4
2014-09-14,33,4
2014-09-21,58,4
2014-09-28,52,4
2014-10-05,65,4
2014-10-12,51,4
2014-10-19,43,4
2014-10-26,13,4
2014-11-02,55,4
2014-11-09,25,5
2014-11-16,57,5
2014-11-23,25,5
2014-11-30,56,5
2014-12-07,38,5
2014-12-14,63,5
2014-12-21,22,5
2014-12-28,41,5
2015-01-04,76,5
2015-01-11,22,5
2015-01-18,39,5
2015-01-25,73,6
2015-02-01,64,6
2015-02-08,46,6
2015-02-15,54,6
2015-02-22,11,6
2015-03-01,57,6
2015-03-08,40,6
2015-03-15,53,6
2015-03-22,31,6
2015-03-29,48,6
2015-04-05,25,6
2015-04-12,48,7
2015-04-19,49,7
2015-04-26,30,7
2015-05-03,66,7
2015-05-10,56,7
2015-05-17,63,7
2015-05-24,55,7
2015-05-31,7,7
2015-06-07,66,7
2015-06-14,40,7
2015-06-21,48,7
2015-06-28,77,8
2015-07-05,82,8
2015-07-12,52,8
2015-07-19,26,8
2015-07-26,25,8
2015-08-02,45,8
2015-08-09,45,8
2015-08-16,24,8
2015-08-23,37,8
2015-08-30,41,8
2015-09-06,61,8
2015-09-13,46,9
2015-09-20,28,9
2015-09-27,58,9
2015-10-04,33,9
2015-10-11,49,9
2015-10-18,73,9
2015-10-25,41,9
2015-11-01,34,9
2015-11-08,17,9
2015-11-15,38,9
2015-11-22,38,9
2015-11-29,44,10
2015-12-06,33,10
2015-12-13,34,10
2015-12-20,26,10
2015-12-27,25,10
2016-01-03,59,10
2016-01-10,28,10
2016-01-17,73,10
2016-01-24,34,10
2016-01-31,40,10
2016-02-07,97,10
2016-02-14,67,11
2016-02-21,22,11
2016-02-28,60,11
2016-03-06,44,11
2016-03-13,51,11
2016-03-20,60,11
2016-03-27,37,11
2016-04-03,35,11
2016-04-10,24,11
2016-04-17,47,11
2016-04-24,53,11
2016-05-01,44,12
2016-05-08,54,12
2016-05-15,55,12
2016-05-22,57,12
2016-05-29,41,12
2016-06-05,53,12
2016-06-12,58,12
2016-06-19,73,12
2016-06-26,30,12
2016-07-03,33,12
2016-07-10,39,12
2016-07-17,41,13
2016-07-24,27,13
2016-07-31,35,13
2016-08-07,28,13
2016-08-14,29,13
2016-08-21,36,13
2016-08-28,54,13
2016-09-04,65,13
2016-09-11,26,13
2016-09-18,20,13
2016-09-25,39,13
2016-10-02,48,14
2016-10-09,43,14
2016-10-16,19,14
2016-10-23,38,14
2016-10-30,19,14
2016-11-06,35,14
2016-11-13,48,14
2016-11-20,60,14
2016-11-27,48,14
2016-12-04,42,14
2016-12-11,30,14
