time,value,n
2006-01-01,0,1
2006-01-02,54,1
2006-01-03,27,1
2006-01-04,0,1
2006-01-05,0,1
2006-01-06,39,1
2006-01-07,0,1
2006-01-08,0,1
2006-01-09,22,1
2006-01-10,0,1
2006-01-11,0,1
2006-01-12,48,1
2006-01-13,54,1
2006-01-14,0,1
2006-01-15,35,1
2006-01-16,22,2
2006-01-17,0,2
2006-01-18,23,2
2006-01-19,47,2
2006-01-20,0,2
2006-01-21,39,2
2006-01-22,33,2
2006-01-23,0,2
2006-01-24,0,2
2006-01-25,0,2
2006-01-26,23,2
2006-01-27,26,2
2006-01-28,0,2
2006-01-29,0,2
2006-01-30,0,2
2006-01-31,45,3
2006-02-01,0,3
2006-02-02,0,3
2006-02-03,27,3
2006-02-04,39,3
2006-02-05,0,3
2006-02-06,23,3
2006-02-07,46,3
2006-02-08,0,3
2006-02-09,24,3
2006-02-10,0,3
2006-02-11,0,3
2006-02-12,0,3
2006-02-13,0,3
2006-02-14,23,3
2006-02-15,0,4
2006-02-16,24,4
2006-02-17,0,4
2006-02-18,40,4
2006-02-19,36,4
2006-02-20,0,4
2006-02-21,0,4
2006-02-22,47,4
2006-02-23,24,4
2006-02-24,26,4
2006-02-25,41,4
2006-02-26,34,4
2006-02-27,0,4
2006-02-28,0,4
2006-03-01,23,4
2006-03-02,23,5
2006-03-03,0,5
2006-03-04,0,5
2006-03-05,0,5
2006-03-06,0,5
2006-03-07,22,5
2006-03-08,0,5
2006-03-09,0,5
2006-03-10,0,5
2006-03-11,0,5
2006-03-12,31,5
2006-03-13,21,5
2006-03-14,0,5
2006-03-15,22,5
2006-03-16,0,5
2006-03-17,25,6
2006-03-18,0,6
2006-03-19,0,6
2006-03-20,22,6
2006-03-21,0,6
2006-03-22,0,6
2006-03-23,23,6
2006-03-24,0,6
2006-03-25,0,6
2006-03-26,63,6
2006-03-27,23,6
2006-03-28,22,6
2006-03-29,22,6
2006-03-30,23,6
2006-03-31,27,6
2006-04-01,0,7
2006-04-02,70,7
2006-04-03,43,7
2006-04-04,23,7
2006-04-05,0,7
2006-04-06,0,7
2006-04-07,0,7
2006-04-08,46,7
2006-04-09,0,7
2006-04-10,23,7
2006-04-11,45,7
2006-04-12,0,7
2006-04-13,0,7
2006-04-14,31,7
2006-04-15,47,7
2006-04-16,0,8
2006-04-17,0,8
2006-04-18,0,8
2006-04-19,23,8
2006-04-20,46,8
2006-04-21,0,8
2006-04-22,44,8
2006-04-23,0,8
2006-04-24,0,8
2006-04-25,23,8
2006-04-26,0,8
2006-04-27,0,8
2006-04-28,25,8
2006-04-29,0,8
2006-04-30,0,8
2006-05-01,0,9
2006-05-02,22,9
2006-05-03,0,9
2006-05-04,23,9
2006-05-05,54,9
2006-05-06,0,9
2006-05-07,0,9
2006-05-08,64,9
2006-05-09,21,9
2006-05-10,22,9
2006-05-11,0,9
2006-05-12,0,9
2006-05-13,0,9
2006-05-14,0,9
2006-05-15,21,9
2006-05-16,43,10
2006-05-17,22,10
2006-05-18,0,10
2006-05-19,25,10
2006-05-20,39,10
2006-05-21,0,10
2006-05-22,22,10
2006-05-23,0,10
2006-05-24,23,10
2006-05-25,0,10
2006-05-26,0,10
2006-05-27,38,10
2006-05-28,31,10
2006-05-29,100,10
2006-05-30,0,10
2006-05-31,43.45454545454545,11
2006-06-01,89.0909090909091,11
2006-06-02,0,11
2006-06-03,0,11
2006-06-04,0,11
2006-06-05,30.363636363636363,11
2006-06-06,63.72727272727273,11
2006-06-07,22.181818181818183,11
2006-06-08,0,11
2006-06-09,52.63636363636363,11
2006-06-10,0,11
2006-06-11,75.9090909090909,11
2006-06-12,22.272727272727273,11
2006-06-13,0,11
2006-06-14,0,11
2006-06-15,0,12
2006-06-16,31.75,12
2006-06-17,82.91666666666667,12
2006-06-18,0,12
2006-06-19,22.416666666666668,12
2006-06-20,69.66666666666667,12
2006-06-21,23.5,12
2006-06-22,46.166666666666664,12
2006-06-23,0,12
2006-06-24,0,12
2006-06-25,39,12
2006-06-26,0,12
2006-06-27,23.583333333333332,12
2006-06-28,47.166666666666664,12
2006-06-29,23.583333333333332,12
2006-06-30,54.92307692307692,13
2006-07-01,41.53846153846154,13
2006-07-02,75.83333333333333,12
2006-07-03,23.916666666666668,12
2006-07-04,25.916666666666668,12
2006-07-05,0,12
2006-07-06,51.833333333333336,12
2006-07-07,0,12
2006-07-08,0,12
2006-07-09,0,12
2006-07-10,0,12
2006-07-11,25.916666666666668,12
2006-07-12,25.916666666666668,12
2006-07-13,0,12
2006-07-14,87.25,12
2006-07-15,49.30769230769231,13
2006-07-16,0,13
2006-07-17,0,12
2006-07-18,0,12
2006-07-19,0,12
2006-07-20,0,12
2006-07-21,0,12
2006-07-22,0,12
2006-07-23,41.166666666666664,12
2006-07-24,50.5,12
2006-07-25,26.25,12
2006-07-26,27.25,12
2006-07-27,80.16666666666667,12
2006-07-28,30.583333333333332,12
2006-07-29,0,12
2006-07-30,0,13
2006-07-31,0,13
2006-08-01,49.166666666666664,12
2006-08-02,50.833333333333336,12
2006-08-03,0,12
2006-08-04,0,12
2006-08-05,0,12
2006-08-06,0,12
2006-08-07,0,12
2006-08-08,0,12
2006-08-09,49.25,12
2006-08-10,25.583333333333332,12
2006-08-11,28.583333333333332,12
2006-08-12,37.416666666666664,12
2006-08-13,38.416666666666664,12
2006-08-14,0,13
2006-08-15,0,13
2006-08-16,0,12
2006-08-17,26.916666666666668,12
2006-08-18,29.416666666666668,12
2006-08-19,0,12
2006-08-20,0,12
2006-08-21,22.916666666666668,12
2006-08-22,0,12
2006-08-23,0,12
2006-08-24,24.916666666666668,12
2006-08-25,55.833333333333336,12
2006-08-26,0,12
2006-08-27,34.916666666666664,12
2006-08-28,22.5,12
2006-08-29,0,13
2006-08-30,24.076923076923077,13
2006-08-31,49.69230769230769,13
2006-09-01,0,13
2006-09-02,0,13
2006-09-03,0,12
2006-09-04,0,12
2006-09-05,23.25,12
2006-09-06,50,12
2006-09-07,49.5,12
2006-09-08,26.25,12
2006-09-09,0,12
2006-09-10,0,12
2006-09-11,46,12
2006-09-12,46.916666666666664,12
2006-09-13,94.3846153846154,13
2006-09-14,24.384615384615383,13
2006-09-15,51.23076923076923,13
2006-09-16,36,13
2006-09-17,0,13
2006-09-18,43.916666666666664,12
2006-09-19,0,12
2006-09-20,0,12
2006-09-21,0,12
2006-09-22,0,12
2006-09-23,0,12
2006-09-24,0,12
2006-09-25,43.5,12
2006-09-26,22,12
2006-09-27,0,12
2006-09-28,48.69230769230769,13
2006-09-29,27.23076923076923,13
2006-09-30,0,13
2006-10-01,0,13
2006-10-02,44.5,12
2006-10-03,0,12
2006-10-04,0,12
2006-10-05,23.75,12
2006-10-06,0,12
2006-10-07,0,12
2006-10-08,0,12
2006-10-09,66.83333333333333,12
2006-10-10,0,12
2006-10-11,0,12
2006-10-12,0,12
2006-10-13,26.076923076923077,13
2006-10-14,37.30769230769231,13
2006-10-15,34.15384615384615,13
2006-10-16,22.153846153846153,13
2006-10-17,23.416666666666668,12
2006-10-18,23.416666666666668,12
2006-10-19,23.666666666666668,12
2006-10-20,0,12
2006-10-21,0,12
2006-10-22,33.583333333333336,12
2006-10-23,67,12
2006-10-24,0,12
