time,value,n
2006-01-01,48,1
2006-01-02,90,1
2006-01-03,84,1
2006-01-04,21,1
2006-01-05,82,1
2006-01-06,49,1
2006-01-07,40,1
2006-01-08,73,1
2006-01-09,40,1
2006-01-10,58,1
2006-01-11,47,1
2006-01-12,55,1
2006-01-13,55,1
2006-01-14,29,1
2006-01-15,26,1
2006-01-16,45,2
2006-01-17,46,2
2006-01-18,59,2
2006-01-19,42,2
2006-01-20,68,2
2006-01-21,40,2
2006-01-22,83,2
2006-01-23,71,2
2006-01-24,40,2
2006-01-25,23,2
2006-01-26,47,2
2006-01-27,54,2
2006-01-28,100,2
2006-01-29,62,2
2006-01-30,83,2
2006-01-31,29.333333333333332,3
2006-02-01,60,3
2006-02-02,49.666666666666664,3
2006-02-03,34.666666666666664,3
2006-02-04,49.666666666666664,3
2006-02-05,45.666666666666664,3
2006-02-06,87.33333333333333,3
2006-02-07,72,3
2006-02-08,55.666666666666664,3
2006-02-09,50,3
2006-02-10,35.666666666666664,3
2006-02-11,20.333333333333332,3
2006-02-12,56,3
2006-02-13,45.666666666666664,3
2006-02-14,23.333333333333332,3
2006-02-15,49,4
2006-02-16,69.5,4
2006-02-17,56,4
2006-02-18,31.5,4
2006-02-19,84,4
2006-02-20,88.5,4
2006-02-21,12,4
2006-02-22,36.5,4
2006-02-23,62.5,4
2006-02-24,54,4
2006-02-25,64,4
2006-02-26,79,4
2006-02-27,51,4
2006-02-28,51,4
2006-03-01,60,4
2006-03-02,59.2,5
2006-03-03,46.2,5
2006-03-04,38.2,5
2006-03-05,24.6,5
2006-03-06,56.2,5
2006-03-07,51.8,5
2006-03-08,71.8,5
2006-03-09,29.2,5
2006-03-10,65.8,5
2006-03-11,65.8,5
2006-03-12,79.8,5
2006-03-13,21.6,5
2006-03-14,33.6,5
2006-03-15,52.2,5
2006-03-16,35.2,5
2006-03-17,46.333333333333336,6
2006-03-18,9.666666666666666,6
2006-03-19,82,6
2006-03-20,45.333333333333336,6
2006-03-21,51.333333333333336,6
2006-03-22,58,6
2006-03-23,77,6
2006-03-24,47.333333333333336,6
2006-03-25,38.333333333333336,6
2006-03-26,33.333333333333336,6
2006-03-27,35.666666666666664,6
2006-03-28,69,6
2006-03-29,29.666666666666668,6
2006-03-30,55.333333333333336,6
2006-03-31,41.666666666666664,6
2006-04-01,43.42857142857143,7
2006-04-02,46.42857142857143,7
2006-04-03,45.42857142857143,7
2006-04-04,23.714285714285715,7
2006-04-05,82.14285714285714,7
2006-04-06,61.142857142857146,7
2006-04-07,29.714285714285715,7
2006-04-08,72.14285714285714,7
2006-04-09,62.142857142857146,7
2006-04-10,49.42857142857143,7
2006-04-11,29.714285714285715,7
2006-04-12,95.85714285714286,7
2006-04-13,53.42857142857143,7
2006-04-14,32.42857142857143,7
2006-04-15,74.14285714285714,7
2006-04-16,76.25,8
2006-04-17,48.5,8
2006-04-18,75.25,8
2006-04-19,35.75,8
2006-04-20,61.5,8
2006-04-21,50.5,8
2006-04-22,70.25,8
2006-04-23,45.5,8
2006-04-24,39.75,8
2006-04-25,48.5,8
2006-04-26,47.5,8
2006-04-27,41.5,8
2006-04-28,46.5,8
2006-04-29,65.25,8
2006-04-30,17,8
2006-05-01,26.77777777777778,9
2006-05-02,34.77777777777778,9
2006-05-03,67.33333333333333,9
2006-05-04,56.333333333333336,9
2006-05-05,35.77777777777778,9
2006-05-06,65.33333333333333,9
2006-05-07,53.55555555555556,9
2006-05-08,44.77777777777778,9
2006-05-09,50.55555555555556,9
2006-05-10,23.77777777777778,9
2006-05-11,62.55555555555556,9
2006-05-12,36.55555555555556,9
2006-05-13,32.55555555555556,9
2006-05-14,42.55555555555556,9
2006-05-15,78.33333333333333,9
2006-05-16,51.4,10
2006-05-17,28.8,10
2006-05-18,23.8,10
2006-05-19,33.8,10
2006-05-20,20.8,10
2006-05-21,49.6,10
2006-05-22,34.6,10
2006-05-23,73.4,10
2006-05-24,54.6,10
2006-05-25,57.4,10
2006-05-26,51.6,10
2006-05-27,29.8,10
2006-05-28,32.6,10
2006-05-29,63.6,10
2006-05-30,53.6,10
2006-05-31,39.63636363636363,11
2006-06-01,52.63636363636363,11
2006-06-02,64.63636363636364,11
2006-06-03,75.45454545454545,11
2006-06-04,44.63636363636363,11
2006-06-05,55.45454545454545,11
2006-06-06,38.63636363636363,11
2006-06-07,57.45454545454545,11
2006-06-08,35.81818181818182,11
2006-06-09,27.818181818181817,11
2006-06-10,69.45454545454545,11
2006-06-11,99.27272727272727,11
2006-06-12,34.81818181818182,11
2006-06-13,36.63636363636363,11
2006-06-14,40.63636363636363,11
2006-06-15,64.5,12
2006-06-16,48.75,12
2006-06-17,64.58333333333333,12
2006-06-18,60.583333333333336,12
2006-06-19,17.083333333333332,12
2006-06-20,41.916666666666664,12
2006-06-21,35.916666666666664,12
2006-06-22,60.583333333333336,12
2006-06-23,54.75,12
2006-06-24,59.75,12
2006-06-25,30.666666666666668,12
2006-06-26,64.75,12
2006-06-27,48.75,12
2006-06-28,42.75,12
2006-06-29,42.666666666666664,12
2006-06-30,42.69230769230769,13
2006-07-01,21.846153846153847,13
2006-07-02,49,12
2006-07-03,43,12
2006-07-04,39.083333333333336,12
2006-07-05,67,12
2006-07-06,66,12
2006-07-07,29.083333333333332,12
2006-07-08,80.91666666666667,12
2006-07-09,31.833333333333332,12
2006-07-10,57,12
2006-07-11,47,12
2006-07-12,53,12
2006-07-13,20.083333333333332,12
2006-07-14,59.916666666666664,12
2006-07-15,25.153846153846153,13
2006-07-16,22.923076923076923,13
2006-07-17,50,12
2006-07-18,59.25,12
2006-07-19,63.25,12
2006-07-20,49,12
2006-07-21,16,12
2006-07-22,65,12
2006-07-23,52.25,12
2006-07-24,38.25,12
2006-07-25,79.25,12
2006-07-26,55,12
2006-07-27,34.25,12
2006-07-28,39,12
2006-07-29,22.25,12
2006-07-30,64.3076923076923,13
2006-07-31,50.30769230769231,13
2006-08-01,49.333333333333336,12
2006-08-02,51.333333333333336,12
2006-08-03,43.333333333333336,12
2006-08-04,35,12
2006-08-05,74.33333333333333,12
2006-08-06,98.66666666666669,12
2006-08-07,41,12
2006-08-08,37,12
2006-08-09,56.333333333333336,12
2006-08-10,13,12
2006-08-11,36,12
2006-08-12,38,12
