time,value,n
2014-01-05,90,1
2014-01-12,79,1
2014-01-19,88,1
2014-01-26,85,1
2014-02-02,82,1
2014-02-09,88,1
2014-02-16,79,1
2014-02-23,71,1
2014-03-02,74,1
2014-03-09,76,1
2014-03-16,76,1
2014-03-23,73,2
2014-03-30,73,2
2014-04-06,60,2
2014-04-13,69,2
2014-04-20,68,2
2014-04-27,78,2
2014-05-04,55,2
2014-05-11,76,2
2014-05-18,72,2
2014-05-25,70,2
2014-06-01,64,2
2014-06-08,60,3
2014-06-15,65,3
2014-06-22,63,3
2014-06-29,68,3
2014-07-06,80,3
2014-07-13,71,3
2014-07-20,74,3
2014-07-27,80,3
2014-08-03,73,3
2014-08-10,83,3
2014-08-17,82,3
2014-08-24,76,4
2014-08-31,74,4
2014-09-07,79,4
2014-09-14,75,4
2014-09-21,82,4
2014-09-28,68,4
2014-10-05,72,4
2014-10-12,77,4
2014-10-19,64,4
2014-10-26,64,4
2014-11-02,78,4
2014-11-09,80,5
2014-11-16,78,5
2014-11-23,76,5
2014-11-30,72,5
2014-12-07,64,5
2014-12-14,55,5
2014-12-21,69,5
2014-12-28,96,5
2015-01-04,83,5
2015-01-11,86,5
2015-01-18,89,5
2015-01-25,75,6
2015-02-01,83,6
2015-02-08,70,6
2015-02-15,72,6
2015-02-22,76,6
2015-03-01,80,6
2015-03-08,78,6
2015-03-15,77,6
2015-03-22,68,6
2015-03-29,79,6
2015-04-05,73,6
2015-04-12,64,7
2015-04-19,59,7
2015-04-26,66,7
2015-05-03,58,7
2015-05-10,69,7
2015-05-17,74,7
2015-05-24,61,7
2015-05-31,54,7
2015-06-07,50,7
2015-06-14,62,7
2015-06-21,65,7
2015-06-28,60,8
2015-07-05,58,8
2015-07-12,62,8
2015-07-19,65,8
2015-07-26,68,8
2015-08-02,61,8
2015-08-09,55,8
2015-08-16,73,8
2015-08-23,70,8
2015-08-30,71,8
2015-09-06,62,8
2015-09-13,58,9
2015-09-20,80,9
2015-09-27,68,9
2015-10-04,71,9
2015-10-11,80,9
2015-10-18,70,9
2015-10-25,68,9
2015-11-01,69,9
2015-11-08,70,9
2015-11-15,68,9
2015-11-22,68,9
2015-11-29,64,10
2015-12-06,71,10
2015-12-13,64,10
2015-12-20,59,10
2015-12-27,90,10
2016-01-03,93,10
2016-01-10,72,10
2016-01-17,77,10
2016-01-24,69,10
2016-01-31,67,10
2016-02-07,79,10
2016-02-14,76,11
2016-02-21,71,11
2016-02-28,76,11
2016-03-06,68,11
2016-03-13,74,11
2016-03-20,67,11
2016-03-27,65,11
2016-04-03,59,11
2016-04-10,66,11
2016-04-17,62,11
2016-04-24,59,11
2016-05-01,54,12
2016-05-08,56,12
2016-05-15,68,12
2016-05-22,57,12
2016-05-29,57,12
2016-06-05,57,12
2016-06-12,55,12
2016-06-19,58,12
2016-06-26,54,12
2016-07-03,59,12
2016-07-10,63,12
2016-07-17,60,13
2016-07-24,59,13
2016-07-31,72,13
2016-08-07,63,13
2016-08-14,61,13
2016-08-21,72,13
2016-08-28,70,13
2016-09-04,63,13
2016-09-11,63,13
2016-09-18,77,13
2016-09-25,56,13
2016-10-02,72,14
2016-10-09,72,14
2016-10-16,76,14
2016-10-23,74,14
2016-10-30,77,14
2016-11-06,70,14
2016-11-13,72,14
2016-11-20,70,14
2016-11-27,71,14
2016-12-04,64,14
2016-12-11,60,14
2016-12-18,54,15
2016-12-25,73,15
2017-01-01,84,15
2017-01-08,74,15
2017-01-15,68,15
2017-01-22,81,15
2017-01-29,71,15
2017-02-05,79,15
2017-02-12,69,15
2017-02-19,72,15
2017-02-26,64,15
2017-03-05,69,16
2017-03-12,69,16
2017-03-19,74,16
2017-03-26,68,16
2017-04-02,72,16
2017-04-09,69,16
2017-04-16,71,16
2017-04-23,67,16
2017-04-30,58,16
2017-05-07,61,16
2017-05-14,60,16
2017-05-21,65,16
2017-05-28,55,16
2017-06-04,57,16
2017-06-11,64,16
2017-06-18,54,16
2017-06-25,61,16
2017-07-02,60,16
2017-07-09,62,16
2017-07-16,62,16
2017-07-23,73,16
2017-07-30,56,16
2017-08-06,68,16
2017-08-13,66,16
2017-08-20,69,16
2017-08-27,66,16
2017-09-03,68,16
2017-09-10,65,16
2017-09-17,71,16
2017-09-24,71,16
2017-10-01,67,16
2017-10-08,74,16
2017-10-15,73,16
2017-10-22,82,16
2017-10-29,87,16
2017-11-05,75,16
2017-11-12,77,16
2017-11-19,71,16
2017-11-26,80,16
2017-12-03,62,16
2017-12-10,55,16
2017-12-17,52,16
2017-12-24,96,16
2017-12-31,86,16
2018-01-07,82,16
2018-01-14,67,16
2018-01-21,68,16
2018-01-28,81,16
2018-02-04,83,16
2018-02-11,69,16
2018-02-18,74,16
2018-02-25,68,16
2018-03-04,76,16
2018-03-11,70,16
2018-03-18,73,16
2018-03-25,78,16
2018-04-01,70,16
2018-04-08,62,16
2018-04-15,66,16
2018-04-22,61,16
2018-04-29,68,16
2018-05-06,60,16
2018-05-13,57,16
2018-05-20,59,16
2018-05-27,65,16
2018-06-03,56,16
2018-06-10,56,16
2018-06-17,56,16
2018-06-24,67,16
2018-07-01,64,16
2018-07-08,67,16
2018-07-15,64,16
2018-07-22,80,16
2018-07-29,64,16
2018-08-05,68,16
2018-08-12,78,16
2018-08-19,67,16
2018-08-26,73,16
2018-09-02,73,16
2018-09-09,72,16
2018-09-16,70,16
2018-09-23,78,16
2018-09-30,79,16
2018-10-07,73,16
2018-10-14,70,16
2018-10-21,74,16
2018-10-28,77,16
2018-11-04,79,16
2018-11-11,73,16
2018-11-18,71,16
2018-11-25,77,16
2018-12-02,71,16
2018-12-09,65,16
2018-12-16,58,16
2018-12-23,94,16
2018-12-30,100,16
2019-01-06,86,15
2019-01-13,80,15
2019-01-20,79,15
2019-01-27,81,15
2019-02-03,83,15
2019-02-10,75,15
2019-02-17,70,15
2019-02-24,69,15
2019-03-03,73,15
2019-03-10,67,15
2019-03-17,68,15
2019-03-24,65,14
2019-03-31,67,14
2019-04-07,61,14
2019-04-14,63,14
2019-04-21,61,14
2019-04-28,66,14
2019-05-05,63,14
2019-05-12,60,14
2019-05-19,54,14
2019-05-26,58,14
2019-06-02,50,14
2019-06-09,51,13
2019-06-16,60,13
2019-06-23,50,13
2019-06-30,52,13
2019-07-07,58,13
2019-07-14,61,13
2019-07-21,58,13
2019-07-28,56,13
2019-08-04,55,13
2019-08-11,60,13
2019-08-18,71,13
2019-08-25,61,12
2019-09-01,71,12
2019-09-08,66,12
2019-09-15,59,12
2019-09-22,74,12
2019-09-29,63,12
2019-10-06,67,12
2019-10-13,63,12
2019-10-20,68,12
2019-10-27,66,12
2019-11-03,69,12
2019-11-10,67,11
2019-11-17,80,11
2019-11-24,64,11
2019-12-01,56,11
2019-12-08,61,11
2019-12-15,54,11
2019-12-22,66,11
2019-12-29,85,11
2020-01-05,81,11
2020-01-12,72,11
2020-01-19,64,11
2020-01-26,61,10
2020-02-02,70,10
2020-02-09,67,10
2020-02-16,67,10
2020-02-23,62,10
2020-03-01,66,10
2020-03-08,53,10
2020-03-15,38,10
2020-03-22,53,10
2020-03-29,51,10
2020-04-05,62,10
2020-04-12,67,9
2020-04-19,71,9
2020-04-26,76,9
2020-05-03,93,9
2020-05-10,95,9
2020-05-17,84,9
2020-05-24,83,9
2020-05-31,81,9
2020-06-07,70,9
2020-06-14,74,9
2020-06-21,73,9
2020-06-28,67,8
2020-07-05,68,8
2020-07-12,77,8
2020-07-19,64,8
2020-07-26,68,8
2020-08-02,71,8
2020-08-09,64,8
2020-08-16,71,8
2020-08-23,69,8
2020-08-30,75,8
2020-09-06,71,8
2020-09-13,64,7
2020-09-20,74,7
2020-09-27,73,7
2020-10-04,70,7
2020-10-11,70,7
2020-10-18,70,7
2020-10-25,75,7
2020-11-01,69,7
2020-11-08,73,7
2020-11-15,64,7
2020-11-22,64,7
2020-11-29,54,6
2020-12-06,86,6
2020-12-13,73,6
2020-12-20,69,6
2020-12-27,79,6
2021-01-03,85,6
2021-01-10,71,6
2021-01-17,79,6
2021-01-24,78,6
2021-01-31,77,6
2021-02-07,97,6
2021-02-14,89,5
2021-02-21,89.5,6
2021-02-28,84.28571428571429,7
2021-03-07,93.57142857142857,7
2021-03-14,82.28571428571429,7
2021-03-21,77.28571428571429,7
2021-03-28,67.71428571428571,7
2021-04-04,76.28571428571429,7
2021-04-11,68,7
2021-04-18,65,7
2021-04-25,63.714285714285715,7
2021-05-02,69.33333333333333,6
2021-05-09,66.33333333333333,6
2021-05-16,66.33333333333333,6
2021-05-23,59,6
2021-05-30,59,6
2021-06-06,52.666666666666664,6
2021-06-13,49.666666666666664,6
2021-06-20,48.666666666666664,6
2021-06-27,49.666666666666664,6
2021-07-04,51.666666666666664,6
2021-07-11,56.666666666666664,6
2021-07-18,57.4,5
2021-07-25,53,5
2021-08-01,60.4,5
2021-08-08,56.4,5
2021-08-15,58,5
2021-08-22,63.4,5
2021-08-29,61.4,5
2021-09-05,53,5
2021-09-12,60.8,5
2021-09-19,59,5
2021-09-26,64.4,5
2021-10-03,61,4
2021-10-10,63,4
2021-10-17,55,4
2021-10-24,62,4
2021-10-31,57,4
2021-11-07,61,4
2021-11-14,58,4
2021-11-21,56,4
2021-11-28,56.5,4
2021-12-05,58,4
2021-12-12,54.5,4
2021-12-19,55.333333333333336,3
2021-12-26,88.33333333333333,3
2022-01-02,86.33333333333333,3
2022-01-09,72.66666666666667,3
2022-01-16,85.33333333333333,3
2022-01-23,70.66666666666667,3
2022-01-30,67,3
2022-02-06,65,3
2022-02-13,65.66666666666667,3
