time,value,n
2006-01-01,26,1
2006-01-02,22,1
2006-01-03,37,1
2006-01-04,80,1
2006-01-05,51,1
2006-01-06,37,1
2006-01-07,59,1
2006-01-08,34,1
2006-01-09,57,1
2006-01-10,43,1
2006-01-11,60,1
2006-01-12,36,1
2006-01-13,44,1
2006-01-14,31,1
2006-01-15,37,1
2006-01-16,65,2
2006-01-17,40,2
2006-01-18,50,2
2006-01-19,54,2
2006-01-20,47,2
2006-01-21,63,2
2006-01-22,61,2
2006-01-23,49,2
2006-01-24,45,2
2006-01-25,40,2
2006-01-26,65,2
2006-01-27,46,2
2006-01-28,42,2
2006-01-29,47,2
2006-01-30,32,2
2006-01-31,49,3
2006-02-01,50,3
2006-02-02,36,3
2006-02-03,55,3
2006-02-04,37,3
2006-02-05,33,3
2006-02-06,46,3
2006-02-07,53,3
2006-02-08,45,3
2006-02-09,65,3
2006-02-10,48,3
2006-02-11,32,3
2006-02-12,44,3
2006-02-13,48,3
2006-02-14,59,3
2006-02-15,32,4
2006-02-16,55,4
2006-02-17,62,4
2006-02-18,60,4
2006-02-19,44,4
2006-02-20,31,4
2006-02-21,37,4
2006-02-22,47,4
2006-02-23,42,4
2006-02-24,88,4
2006-02-25,22,4
2006-02-26,50,4
2006-02-27,47,4
2006-02-28,56,4
2006-03-01,72,4
2006-03-02,43,5
2006-03-03,58,5
2006-03-04,68,5
2006-03-05,51,5
2006-03-06,41,5
2006-03-07,44,5
2006-03-08,80,5
2006-03-09,57,5
2006-03-10,44,5
2006-03-11,39,5
2006-03-12,45,5
2006-03-13,42,5
2006-03-14,61,5
2006-03-15,48,5
2006-03-16,36,5
2006-03-17,51,6
2006-03-18,29,6
2006-03-19,47,6
2006-03-20,44,6
2006-03-21,56,6
2006-03-22,39,6
2006-03-23,52,6
2006-03-24,45,6
2006-03-25,30,6
2006-03-26,43,6
2006-03-27,46,6
2006-03-28,38,6
2006-03-29,49,6
2006-03-30,38,6
2006-03-31,54,6
2006-04-01,39,7
2006-04-02,52,7
2006-04-03,41,7
2006-04-04,55,7
2006-04-05,48,7
2006-04-06,53,7
2006-04-07,88,7
2006-04-08,25,7
2006-04-09,32,7
2006-04-10,60,7
2006-04-11,56,7
2006-04-12,46,7
2006-04-13,48,7
2006-04-14,62,7
2006-04-15,38,7
2006-04-16,34,8
2006-04-17,40,8
2006-04-18,36,8
2006-04-19,52,8
2006-04-20,73,8
2006-04-21,45,8
2006-04-22,48,8
2006-04-23,37,8
2006-04-24,44,8
2006-04-25,50,8
2006-04-26,40,8
2006-04-27,46,8
2006-04-28,44,8
2006-04-29,100,8
2006-04-30,22,8
2006-05-01,41.22222222222222,9
2006-05-02,41.22222222222222,9
2006-05-03,41.22222222222222,9
2006-05-04,26.11111111111111,9
2006-05-05,30.11111111111111,9
2006-05-06,28.11111111111111,9
2006-05-07,37.22222222222222,9
2006-05-08,35.111111111111114,9
2006-05-09,44.22222222222222,9
2006-05-10,64.33333333333333,9
2006-05-11,61.333333333333336,9
2006-05-12,49.22222222222222,9
2006-05-13,61.333333333333336,9
2006-05-14,61.333333333333336,9
2006-05-15,29.11111111111111,9
2006-05-16,49.6,10
2006-05-17,39.4,10
2006-05-18,56.4,10
2006-05-19,35.2,10
2006-05-20,42.4,10
2006-05-21,25.2,10
2006-05-22,50.4,10
2006-05-23,46.4,10
2006-05-24,28.2,10
2006-05-25,69.6,10
2006-05-26,65.6,10
2006-05-27,5,10
2006-05-28,46.4,10
2006-05-29,41.4,10
2006-05-30,36.2,10
2006-05-31,41.54545454545455,11
2006-06-01,63.81818181818182,11
2006-06-02,27.272727272727273,11
2006-06-03,39.27272727272727,11
2006-06-04,18.272727272727273,11
2006-06-05,53.54545454545455,11
2006-06-06,43.54545454545455,11
2006-06-07,35.54545454545455,11
2006-06-08,49.81818181818182,11
2006-06-09,79.0909090909091,11
2006-06-10,20.272727272727273,11
2006-06-11,36.27272727272727,11
2006-06-12,21.272727272727273,11
2006-06-13,44.54545454545455,11
2006-06-14,48.81818181818182,11
2006-06-15,50,12
2006-06-16,46.666666666666664,12
2006-06-17,44.666666666666664,12
2006-06-18,57.666666666666664,12
2006-06-19,63,12
2006-06-20,40.666666666666664,12
2006-06-21,46.666666666666664,12
2006-06-22,53,12
2006-06-23,53,12
2006-06-24,18.333333333333332,12
2006-06-25,42.666666666666664,12
2006-06-26,36.666666666666664,12
2006-06-27,47.666666666666664,12
2006-06-28,28.666666666666668,12
2006-06-29,31.333333333333332,12
2006-06-30,66.15384615384616,13
2006-07-01,61.15384615384615,13
2006-07-02,30.416666666666668,12
2006-07-03,41.833333333333336,12
2006-07-04,57.25,12
2006-07-05,97.08333333333331,12
2006-07-06,30.833333333333332,12
2006-07-07,19,12
2006-07-08,18,12
2006-07-09,60.25,12
2006-07-10,45.833333333333336,12
2006-07-11,34.833333333333336,12
2006-07-12,30.833333333333332,12
2006-07-13,38.416666666666664,12
2006-07-14,34.833333333333336,12
2006-07-15,32.92307692307692,13
2006-07-16,54.69230769230769,13
2006-07-17,52.25,12
2006-07-18,51.833333333333336,12
2006-07-19,40.583333333333336,12
2006-07-20,62.416666666666664,12
2006-07-21,41.583333333333336,12
2006-07-22,47.666666666666664,12
2006-07-23,49.75,12
2006-07-24,40.583333333333336,12
2006-07-25,59.333333333333336,12
2006-07-26,61.333333333333336,12
2006-07-27,46.666666666666664,12
2006-07-28,56.833333333333336,12
2006-07-29,23.833333333333332,12
2006-07-30,28.307692307692307,13
2006-07-31,37,13
2006-08-01,75.5,12
2006-08-02,44.5,12
2006-08-03,72.91666666666667,12
2006-08-04,63.583333333333336,12
2006-08-05,67.75,12
2006-08-06,66.75,12
2006-08-07,62,12
2006-08-08,65.75,12
2006-08-09,53.25,12
2006-08-10,51.666666666666664,12
2006-08-11,42.333333333333336,12
2006-08-12,65.75,12
2006-08-13,41.333333333333336,12
2006-08-14,62.38461538461539,13
2006-08-15,40.23076923076923,13
2006-08-16,23.666666666666668,12
2006-08-17,54.25,12
2006-08-18,55.833333333333336,12
2006-08-19,44.083333333333336,12
2006-08-20,70,12
2006-08-21,50,12
2006-08-22,56.25,12
2006-08-23,53.25,12
2006-08-24,50.583333333333336,12
2006-08-25,45.333333333333336,12
2006-08-26,18.416666666666668,12
2006-08-27,37.833333333333336,12
2006-08-28,54.833333333333336,12
2006-08-29,52.92307692307692,13
2006-08-30,32.15384615384615,13
2006-08-31,33.38461538461539,13
2006-09-01,71.15384615384616,13
2006-09-02,54.23076923076923,13
2006-09-03,38.666666666666664,12
2006-09-04,50,12
2006-09-05,69.66666666666667,12
2006-09-06,47,12
2006-09-07,77.25,12
2006-09-08,45.916666666666664,12
2006-09-09,29,12
2006-09-10,46.916666666666664,12
2006-09-11,43.666666666666664,12
2006-09-12,59.833333333333336,12
2006-09-13,54.30769230769231,13
2006-09-14,55.92307692307692,13
2006-09-15,65.92307692307692,13
2006-09-16,58.69230769230769,13
2006-09-17,49.15384615384615,13
2006-09-18,56.333333333333336,12
2006-09-19,47.666666666666664,12
2006-09-20,28.583333333333332,12
2006-09-21,35.833333333333336,12
2006-09-22,46.666666666666664,12
2006-09-23,44.25,12
2006-09-24,34.583333333333336,12
2006-09-25,52.916666666666664,12
2006-09-26,41.416666666666664,12
2006-09-27,57.333333333333336,12
2006-09-28,31.923076923076923,13
2006-09-29,39.46153846153846,13
2006-09-30,37.61538461538461,13
2006-10-01,31.923076923076923,13
2006-10-02,64.58333333333333,12
2006-10-03,75.66666666666667,12
2006-10-04,56.5,12
2006-10-05,56.083333333333336,12
2006-10-06,32.166666666666664,12
2006-10-07,38.916666666666664,12
2006-10-08,73,12
2006-10-09,73,12
2006-10-10,54.833333333333336,12
2006-10-11,86,12
2006-10-12,37.333333333333336,12
2006-10-13,54.46153846153846,13
2006-10-14,73,13
2006-10-15,17.307692307692307,13
2006-10-16,43,13
2006-10-17,75.66666666666667,12
2006-10-18,72.66666666666667,12
2006-10-19,73.66666666666667,12
2006-10-20,82.83333333333333,12
2006-10-21,63.833333333333336,12
2006-10-22,43.416666666666664,12
2006-10-23,69.41666666666667,12
2006-10-24,46.666666666666664,12
2006-10-25,64.41666666666667,12
2006-10-26,31.25,12
2006-10-27,71.66666666666667,12
2006-10-28,44.76923076923077,13
2006-10-29,39.53846153846154,13
2006-10-30,66,13
2006-10-31,55.38461538461539,13
2006-11-01,55.38461538461539,13
2006-11-02,75.33333333333333,12
2006-11-03,53.75,12
2006-11-04,60.416666666666664,12
2006-11-05,70.08333333333333,12
2006-11-06,65.41666666666667,12
2006-11-07,53.083333333333336,12
2006-11-08,76,12
2006-11-09,52.5,12
2006-11-10,52.75,12
2006-11-11,32.166666666666664,12
2006-11-12,34.23076923076923,13
2006-11-13,33,13
2006-11-14,92.07692307692308,13
2006-11-15,80.15384615384616,13
2006-11-16,66.23076923076923,13
2006-11-17,91.75,12
2006-11-18,26.75,12
2006-11-19,60,12
2006-11-20,57.25,12
2006-11-21,90.5,12
2006-11-22,77.75,12
2006-11-23,72,12
2006-11-24,72,12
2006-11-25,69.75,12
2006-11-26,43.25,12
2006-11-27,51.53846153846154,13
2006-11-28,86.07692307692308,13
2006-11-29,59.07692307692308,13
2006-11-30,82.84615384615384,13
2006-12-01,81.84615384615384,13
2006-12-02,51.916666666666664,12
2006-12-03,50.916666666666664,12
2006-12-04,49.666666666666664,12
2006-12-05,67.41666666666667,12
2006-12-06,59.75,12
2006-12-07,67.41666666666667,12
2006-12-08,65.83333333333333,12
2006-12-09,39.833333333333336,12
2006-12-10,54.5,12
2006-12-11,52.916666666666664,12
2006-12-12,71.6923076923077,13
2006-12-13,93.3846153846154,13
2006-12-14,86.38461538461539,13
2006-12-15,93.6153846153846,13
2006-12-16,57.25,12
2006-12-17,47.333333333333336,12
2006-12-18,86.16666666666667,12
2006-12-19,45.083333333333336,12
2006-12-20,53.25,12
2006-12-21,53,12
2006-12-22,63.166666666666664,12
2006-12-23,95.41666666666669,12
2006-12-24,88.16666666666667,12
2006-12-25,77.33333333333333,12
2006-12-26,60.166666666666664,12
2006-12-27,68.15384615384616,13
2006-12-28,52,13
2006-12-29,80.23076923076923,13
2006-12-30,59.23076923076923,13
2006-12-31,51.5,12
2007-01-01,77,12
2007-01-02,75,12
2007-01-03,52.75,12
2007-01-04,59.75,12
2007-01-05,53.75,12
2007-01-06,83,12
2007-01-07,44.5,12
2007-01-08,62.75,12
2007-01-09,41.5,12
2007-01-10,52.75,12
2007-01-11,57.69230769230769,13
2007-01-12,71.92307692307692,13
2007-01-13,52.69230769230769,13
2007-01-14,64.6923076923077,13
2007-01-15,66.92307692307692,13
2007-01-16,33.333333333333336,12
2007-01-17,69.66666666666667,12
2007-01-18,53.333333333333336,12
2007-01-19,60.5,12
2007-01-20,77.66666666666667,12
2007-01-21,42.333333333333336,12
2007-01-22,50.5,12
2007-01-23,42.333333333333336,12
2007-01-24,53.5,12
2007-01-25,69.5,12
2007-01-26,74.46153846153847,13
2007-01-27,78.61538461538461,13
2007-01-28,62.46153846153846,13
2007-01-29,63.46153846153846,13
2007-01-30,39.30769230769231,13
2007-01-31,43.166666666666664,12
2007-02-01,67.25,12
2007-02-02,78.33333333333333,12
2007-02-03,40.166666666666664,12
2007-02-04,27.083333333333332,12
2007-02-05,65.33333333333333,12
2007-02-06,51.166666666666664,12
2007-02-07,71.25,12
2007-02-08,60.25,12
2007-02-09,60.25,12
2007-02-10,87.3076923076923,13
2007-02-11,56.23076923076923,13
2007-02-12,58.23076923076923,13
2007-02-13,65.3076923076923,13
2007-02-14,61.23076923076923,13
2007-02-15,55,12
2007-02-16,47,12
2007-02-17,49,12
2007-02-18,27,12
2007-02-19,54,12
2007-02-20,100,12
2007-02-21,78,12
2007-02-22,83,12
2007-02-23,83,12
2007-02-24,32,12
2007-02-25,56.76923076923077,13
2007-02-26,47.61538461538461,13
2007-02-27,41.61538461538461,13
2007-02-28,73,13
2007-03-01,65.84615384615384,13
2007-03-02,77.08333333333333,12
2007-03-03,66,12
2007-03-04,43.666666666666664,12
2007-03-05,66,12
2007-03-06,61.916666666666664,12
2007-03-07,51.833333333333336,12
2007-03-08,58.833333333333336,12
2007-03-09,38.583333333333336,12
2007-03-10,62.916666666666664,12
2007-03-11,40.583333333333336,12
2007-03-12,48.38461538461539,13
2007-03-13,62.69230769230769,13
2007-03-14,82.33333333333333,12
2007-03-15,54.5,12
2007-03-16,72.16666666666667,12
2007-03-17,65.83333333333333,12
2007-03-18,52.5,12
2007-03-19,60.666666666666664,12
2007-03-20,44.333333333333336,12
2007-03-21,32,12
