time,value,n
2014-01-05,56,1
2014-01-12,52,1
2014-01-19,54,1
2014-01-26,52,1
2014-02-02,55,1
2014-02-09,66,1
2014-02-16,59,1
2014-02-23,53,1
2014-03-02,58,1
2014-03-09,55,1
2014-03-16,55,1
2014-03-23,52,2
2014-03-30,53,2
2014-04-06,53,2
2014-04-13,60,2
2014-04-20,53,2
2014-04-27,59,2
2014-05-04,57,2
2014-05-11,55,2
2014-05-18,53,2
2014-05-25,54,2
2014-06-01,55,2
2014-06-08,51,3
2014-06-15,49,3
2014-06-22,46,3
2014-06-29,61,3
2014-07-06,56,3
2014-07-13,62,3
2014-07-20,58,3
2014-07-27,63,3
2014-08-03,61,3
2014-08-10,65,3
2014-08-17,58,3
2014-08-24,53.5,4
2014-08-31,56.25,4
2014-09-07,57.5,4
2014-09-14,55.25,4
2014-09-21,54.25,4
2014-09-28,56.25,4
2014-10-05,54.25,4
2014-10-12,60.25,4
2014-10-19,56.25,4
2014-10-26,58.25,4
2014-11-02,61.25,4
2014-11-09,58.8,5
2014-11-16,59.8,5
2014-11-23,60.8,5
2014-11-30,60.8,5
2014-12-07,57.8,5
2014-12-14,59.8,5
2014-12-21,63.8,5
2014-12-28,69.8,5
2015-01-04,55.8,5
2015-01-11,49.2,5
2015-01-18,53.8,5
2015-01-25,54.5,6
2015-02-01,61.833333333333336,6
2015-02-08,60.833333333333336,6
2015-02-15,58,6
2015-02-22,56.333333333333336,6
2015-03-01,62,6
2015-03-08,56,6
2015-03-15,54,6
2015-03-22,53.333333333333336,6
2015-03-29,57,6
2015-04-05,56.333333333333336,6
2015-04-12,53.42857142857143,7
2015-04-19,53.42857142857143,7
2015-04-26,56.42857142857143,7
2015-05-03,57.42857142857143,7
2015-05-10,58.42857142857143,7
2015-05-17,51,7
2015-05-24,56.714285714285715,7
2015-05-31,57.42857142857143,7
2015-06-07,53,7
2015-06-14,53.42857142857143,7
2015-06-21,52.42857142857143,7
2015-06-28,60.625,8
2015-07-05,60.625,8
2015-07-12,57.625,8
2015-07-19,57.625,8
2015-07-26,61.625,8
2015-08-02,62.625,8
2015-08-09,65.625,8
2015-08-16,60.625,8
2015-08-23,59,8
2015-08-30,54.25,8
2015-09-06,56,8
2015-09-13,52.111111111111114,9
2015-09-20,53.111111111111114,9
2015-09-27,51.44444444444444,9
2015-10-04,53.77777777777778,9
2015-10-11,55.666666666666664,9
2015-10-18,61.666666666666664,9
2015-10-25,62,9
2015-11-01,61,9
2015-11-08,60.111111111111114,9
2015-11-15,57.44444444444444,9
2015-11-22,55.666666666666664,9
2015-11-29,57,10
2015-12-06,64.5,10
2015-12-13,62,10
2015-12-20,61.5,10
2015-12-27,74.6,10
2016-01-03,61.5,10
2016-01-10,51,10
2016-01-17,50,10
2016-01-24,53,10
2016-01-31,55,10
2016-02-07,65.3,10
2016-02-14,61.09090909090909,11
2016-02-21,60.63636363636363,11
2016-02-28,59.09090909090909,11
2016-03-06,61.81818181818182,11
2016-03-13,55.81818181818182,11
2016-03-20,63.36363636363637,11
2016-03-27,58.09090909090909,11
2016-04-03,60.09090909090909,11
