time,value,n
2014-01-01,74,1
2014-01-02,84,1
2014-01-03,53,1
2014-01-04,71,1
2014-01-05,56,1
2014-01-06,50,1
2014-01-07,65,1
2014-01-08,50,1
2014-01-09,35,1
2014-01-10,53,1
2014-01-11,67,1
2014-01-12,69,1
2014-01-13,65,1
2014-01-14,54,1
2014-01-15,54,1
2014-01-16,69,2
2014-01-17,40,2
2014-01-18,77,2
2014-01-19,52,2
2014-01-20,61,2
2014-01-21,31,2
2014-01-22,67,2
2014-01-23,55,2
2014-01-24,59,2
2014-01-25,85,2
2014-01-26,32,2
2014-01-27,56,2
2014-01-28,44,2
2014-01-29,80,2
2014-01-30,46,2
2014-01-31,59,3
2014-02-01,79,3
2014-02-02,61,3
2014-02-03,34,3
2014-02-04,67,3
2014-02-05,64,3
2014-02-06,54,3
2014-02-07,77,3
2014-02-08,66,3
2014-02-09,55,3
2014-02-10,71,3
2014-02-11,67,3
2014-02-12,68,3
2014-02-13,63,3
2014-02-14,55,3
2014-02-15,79,4
2014-02-16,77.25,4
2014-02-17,68.25,4
2014-02-18,58.25,4
2014-02-19,44.25,4
2014-02-20,46.5,4
2014-02-21,56.25,4
2014-02-22,50.5,4
2014-02-23,55.25,4
2014-02-24,49.5,4
2014-02-25,51.5,4
2014-02-26,49.5,4
2014-02-27,56.25,4
2014-02-28,37.5,4
2014-03-01,33.5,4
2014-03-02,44,5
2014-03-03,66.6,5
2014-03-04,69.2,5
2014-03-05,57.6,5
2014-03-06,60.4,5
2014-03-07,76.2,5
2014-03-08,72.2,5
2014-03-09,62.4,5
2014-03-10,53.6,5
2014-03-11,61.6,5
2014-03-12,60.4,5
2014-03-13,64.4,5
2014-03-14,57.4,5
2014-03-15,64.2,5
2014-03-16,54.6,5
2014-03-17,57.833333333333336,6
2014-03-18,53.333333333333336,6
2014-03-19,62.833333333333336,6
2014-03-20,73.83333333333333,6
2014-03-21,58.166666666666664,6
2014-03-22,67.83333333333333,6
2014-03-23,54.333333333333336,6
2014-03-24,48.666666666666664,6
2014-03-25,54.333333333333336,6
2014-03-26,54.166666666666664,6
2014-03-27,75.33333333333333,6
2014-03-28,70.83333333333333,6
2014-03-29,72.66666666666667,6
2014-03-30,50.666666666666664,6
2014-03-31,37.666666666666664,6
2014-04-01,51.857142857142854,7
2014-04-02,49.857142857142854,7
2014-04-03,61.42857142857143,7
2014-04-04,62.857142857142854,7
2014-04-05,64.42857142857143,7
2014-04-06,46.42857142857143,7
2014-04-07,42.857142857142854,7
2014-04-08,53.857142857142854,7
2014-04-09,47.857142857142854,7
2014-04-10,73.85714285714286,7
2014-04-11,54.857142857142854,7
2014-04-12,70.28571428571429,7
2014-04-13,58.857142857142854,7
2014-04-14,63.42857142857143,7
2014-04-15,59.857142857142854,7
2014-04-16,62.125,8
2014-04-17,68.125,8
2014-04-18,59.5,8
2014-04-19,78.375,8
2014-04-20,51.5,8
2014-04-21,56.5,8
2014-04-22,51.625,8
2014-04-23,58.125,8
2014-04-24,60.125,8
2014-04-25,65.875,8
2014-04-26,53.5,8
2014-04-27,38.25,8
2014-04-28,52.75,8
2014-04-29,65.875,8
2014-04-30,69.875,8
2014-05-01,78,9
2014-05-02,72.66666666666667,9
2014-05-03,82,9
2014-05-04,47.44444444444444,9
2014-05-05,46.888888888888886,9
2014-05-06,31.444444444444443,9
2014-05-07,59.666666666666664,9
2014-05-08,39.888888888888886,9
2014-05-09,70.66666666666667,9
2014-05-10,60.22222222222222,9
2014-05-11,44.888888888888886,9
2014-05-12,61.888888888888886,9
2014-05-13,51.55555555555556,9
2014-05-14,53.22222222222222,9
2014-05-15,64.55555555555556,9
2014-05-16,71,10
2014-05-17,75.7,10
2014-05-18,35.3,10
2014-05-19,60.4,10
2014-05-20,22,10
2014-05-21,49,10
2014-05-22,41.7,10
2014-05-23,73.7,10
2014-05-24,49.3,10
2014-05-25,69.4,10
2014-05-26,60.3,10
2014-05-27,64.7,10
2014-05-28,74.4,10
2014-05-29,53,10
2014-05-30,89.1,10
2014-05-31,67.18181818181819,11
2014-06-01,43.54545454545455,11
2014-06-02,49.18181818181818,11
2014-06-03,63.09090909090909,11
2014-06-04,60.09090909090909,11
2014-06-05,81.45454545454545,11
2014-06-06,74.81818181818181,11
2014-06-07,56.81818181818182,11
2014-06-08,36.18181818181818,11
2014-06-09,40.90909090909091,11
2014-06-10,61.81818181818182,11
2014-06-11,32.90909090909091,11
2014-06-12,56.54545454545455,11
2014-06-13,57.54545454545455,11
2014-06-14,86.72727272727273,11
2014-06-15,50.416666666666664,12
2014-06-16,56.833333333333336,12
2014-06-17,62,12
2014-06-18,50.666666666666664,12
2014-06-19,77.08333333333333,12
2014-06-20,93.08333333333333,12
2014-06-21,71.83333333333333,12
2014-06-22,58.75,12
2014-06-23,58.75,12
2014-06-24,36.583333333333336,12
2014-06-25,42.416666666666664,12
2014-06-26,69.25,12
2014-06-27,65.91666666666667,12
2014-06-28,57.75,12
2014-06-29,53.333333333333336,12
2014-06-30,58.30769230769231,13
2014-07-01,40.53846153846154,13
2014-07-02,67.66666666666667,12
2014-07-03,66,12
2014-07-04,59.666666666666664,12
2014-07-05,77.16666666666667,12
2014-07-06,87,12
2014-07-07,80.16666666666667,12
2014-07-08,59.166666666666664,12
2014-07-09,57.416666666666664,12
2014-07-10,47.25,12
2014-07-11,66.25,12
2014-07-12,65.16666666666667,12
2014-07-13,73.33333333333333,12
2014-07-14,54.583333333333336,12
2014-07-15,43.30769230769231,13
2014-07-16,62.15384615384615,13
2014-07-17,74.58333333333333,12
2014-07-18,74.58333333333333,12
2014-07-19,66,12
2014-07-20,65,12
2014-07-21,77.33333333333333,12
2014-07-22,74.58333333333333,12
2014-07-23,66,12
2014-07-24,67.08333333333333,12
2014-07-25,63.666666666666664,12
2014-07-26,71.16666666666667,12
2014-07-27,53.833333333333336,12
2014-07-28,71.41666666666667,12
2014-07-29,62.916666666666664,12
2014-07-30,49.30769230769231,13
2014-07-31,54.69230769230769,13
2014-08-01,66.16666666666667,12
2014-08-02,82.16666666666667,12
2014-08-03,67.16666666666667,12
2014-08-04,62.5,12
2014-08-05,65.5,12
2014-08-06,55.5,12
2014-08-07,72.83333333333333,12
2014-08-08,68.16666666666667,12
2014-08-09,91.16666666666667,12
2014-08-10,52.083333333333336,12
2014-08-11,46.083333333333336,12
2014-08-12,76.5,12
2014-08-13,59.416666666666664,12
2014-08-14,83.92307692307692,13
2014-08-15,58.23076923076923,13
2014-08-16,84.16666666666667,12
2014-08-17,60,12
2014-08-18,50.083333333333336,12
2014-08-19,73,12
2014-08-20,73,12
2014-08-21,86.41666666666667,12
2014-08-22,55.416666666666664,12
2014-08-23,91.75,12
2014-08-24,53.666666666666664,12
2014-08-25,62.583333333333336,12
2014-08-26,58.666666666666664,12
2014-08-27,61.25,12
2014-08-28,62.25,12
2014-08-29,48.61538461538461,13
2014-08-30,62.23076923076923,13
2014-08-31,39.30769230769231,13
2014-09-01,56.46153846153846,13
2014-09-02,77.3076923076923,13
2014-09-03,60.166666666666664,12
2014-09-04,54.5,12
2014-09-05,71.66666666666667,12
2014-09-06,54.666666666666664,12
2014-09-07,38,12
2014-09-08,51.5,12
2014-09-09,32.5,12
2014-09-10,36,12
2014-09-11,55.5,12
2014-09-12,75.66666666666667,12
2014-09-13,84.46153846153847,13
2014-09-14,31.923076923076923,13
2014-09-15,59.69230769230769,13
2014-09-16,41.15384615384615,13
2014-09-17,44.61538461538461,13
2014-09-18,56,12
2014-09-19,59.083333333333336,12
2014-09-20,74.75,12
2014-09-21,48.25,12
2014-09-22,47.166666666666664,12
2014-09-23,48.25,12
2014-09-24,45.833333333333336,12
2014-09-25,59.083333333333336,12
2014-09-26,59.5,12
2014-09-27,81.16666666666667,12
2014-09-28,61.07692307692308,13
2014-09-29,64.07692307692308,13
2014-09-30,54.61538461538461,13
2014-10-01,68.84615384615384,13
2014-10-02,63.666666666666664,12
2014-10-03,88,12
2014-10-04,73,12
2014-10-05,47.333333333333336,12
2014-10-06,45.333333333333336,12
2014-10-07,36.333333333333336,12
2014-10-08,55,12
2014-10-09,50.666666666666664,12
2014-10-10,73,12
2014-10-11,86.33333333333333,12
2014-10-12,34.333333333333336,12
2014-10-13,58.69230769230769,13
2014-10-14,56.69230769230769,13
2014-10-15,59,13
2014-10-16,68.3076923076923,13
2014-10-17,59,12
2014-10-18,78.25,12
2014-10-19,33.75,12
2014-10-20,39,12
2014-10-21,51.75,12
2014-10-22,41.25,12
2014-10-23,56,12
2014-10-24,56,12
2014-10-25,71,12
2014-10-26,25.5,12
2014-10-27,61.25,12
2014-10-28,56.76923076923077,13
2014-10-29,46.30769230769231,13
2014-10-30,56.76923076923077,13
2014-10-31,51.53846153846154,13
2014-11-01,42.07692307692308,13
2014-11-02,48.833333333333336,12
2014-11-03,40.5,12
2014-11-04,48.833333333333336,12
2014-11-05,61.166666666666664,12
2014-11-06,56.166666666666664,12
2014-11-07,68.5,12
2014-11-08,54,12
2014-11-09,40.5,12
2014-11-10,27,12
2014-11-11,32.166666666666664,12
2014-11-12,55.84615384615385,13
2014-11-13,63,13
2014-11-14,57.84615384615385,13
2014-11-15,50.69230769230769,13
2014-11-16,32.07692307692308,13
2014-11-17,36.666666666666664,12
2014-11-18,42.833333333333336,12
2014-11-19,33.583333333333336,12
2014-11-20,46.916666666666664,12
2014-11-21,37.75,12
2014-11-22,54,12
2014-11-23,46.833333333333336,12
2014-11-24,42.833333333333336,12
2014-11-25,58.083333333333336,12
2014-11-26,59.166666666666664,12
2014-11-27,56,13
2014-11-28,66.15384615384616,13
2014-11-29,72.23076923076923,13
2014-11-30,46.84615384615385,13
2014-12-01,47.84615384615385,13
2014-12-02,63,12
2014-12-03,70,12
2014-12-04,54,12
2014-12-05,78,12
2014-12-06,100,12
2014-12-07,52,12
2014-12-08,79,12
2014-12-09,58,12
2014-12-10,59,12
2014-12-11,76,12
2014-12-12,80.23076923076923,13
2014-12-13,81.23076923076923,13
2014-12-14,48.15384615384615,13
2014-12-15,54.15384615384615,13
2014-12-16,51.083333333333336,12
2014-12-17,66.16666666666667,12
2014-12-18,55.166666666666664,12
2014-12-19,51.166666666666664,12
2014-12-20,58.166666666666664,12
2014-12-21,50.166666666666664,12
2014-12-22,84.25,12
2014-12-23,67.25,12
2014-12-24,55.166666666666664,12
2014-12-25,48.166666666666664,12
2014-12-26,58.166666666666664,12
2014-12-27,96.61538461538461,13
2014-12-28,55.30769230769231,13
2014-12-29,57.30769230769231,13
2014-12-30,54.30769230769231,13
2014-12-31,38.166666666666664,12
2015-01-01,41.166666666666664,12
2015-01-02,54.333333333333336,12
2015-01-03,55.333333333333336,12
2015-01-04,47.333333333333336,12
2015-01-05,55.333333333333336,12
2015-01-06,34.166666666666664,12
2015-01-07,37.333333333333336,12
2015-01-08,37.333333333333336,12
2015-01-09,44.166666666666664,12
2015-01-10,42.166666666666664,12
2015-01-11,50.46153846153846,13
2015-01-12,50.46153846153846,13
2015-01-13,34.23076923076923,13
2015-01-14,54.46153846153846,13
2015-01-15,43.23076923076923,13
2015-01-16,43.25,12
2015-01-17,60.5,12
2015-01-18,42.5,12
2015-01-19,32.5,12
2015-01-20,33.25,12
2015-01-21,47.5,12
2015-01-22,42.5,12
2015-01-23,39.5,12
2015-01-24,59.5,12
2015-01-25,50.5,12
2015-01-26,45.61538461538461,13
2015-01-27,43.61538461538461,13
2015-01-28,35.30769230769231,13
2015-01-29,34.61538461538461,13
2015-01-30,55.61538461538461,13
2015-01-31,50.666666666666664,12
2015-02-01,59.666666666666664,12
2015-02-02,36.333333333333336,12
2015-02-03,47.666666666666664,12
2015-02-04,43.666666666666664,12
2015-02-05,40.666666666666664,12
2015-02-06,38.333333333333336,12
2015-02-07,71,12
2015-02-08,59.666666666666664,12
2015-02-09,47.666666666666664,12
2015-02-10,43.76923076923077,13
2015-02-11,43.76923076923077,13
2015-02-12,30.384615384615383,13
2015-02-13,56.76923076923077,13
2015-02-14,64.76923076923077,13
2015-02-15,47.416666666666664,12
2015-02-16,40.833333333333336,12
2015-02-17,50.833333333333336,12
2015-02-18,46.833333333333336,12
2015-02-19,46.833333333333336,12
2015-02-20,65.83333333333333,12
2015-02-21,29.416666666666668,12
2015-02-22,55.833333333333336,12
2015-02-23,42.833333333333336,12
2015-02-24,35.416666666666664,12
2015-02-25,43.46153846153846,13
2015-02-26,44.92307692307692,13
2015-02-27,40.92307692307692,13
2015-02-28,41.92307692307692,13
2015-03-01,53.92307692307692,13
2015-03-02,38.5,12
2015-03-03,45.5,12
2015-03-04,46,12
2015-03-05,45,12
2015-03-06,57,12
2015-03-07,56,12
2015-03-08,34.5,12
2015-03-09,36,12
2015-03-10,39.5,12
2015-03-11,47,12
2015-03-12,49.53846153846154,13
2015-03-13,66.61538461538461,13
2015-03-14,59.75,12
2015-03-15,49.166666666666664,12
2015-03-16,57.166666666666664,12
2015-03-17,69.16666666666667,12
2015-03-18,71.16666666666667,12
2015-03-19,78.75,12
2015-03-20,62.166666666666664,12
2015-03-21,76.75,12
2015-03-22,43.166666666666664,12
2015-03-23,59.166666666666664,12
2015-03-24,54.166666666666664,12
2015-03-25,62.166666666666664,12
2015-03-26,59.166666666666664,12
2015-03-27,67.84615384615384,13
2015-03-28,98.84615384615384,13
2015-03-29,63.333333333333336,12
2015-03-30,65,12
2015-03-31,72,12
2015-04-01,65.33333333333333,12
2015-04-02,67,12
2015-04-03,74.33333333333333,12
2015-04-04,60.333333333333336,12
2015-04-05,53.333333333333336,12
2015-04-06,66.33333333333333,12
2015-04-07,62.333333333333336,12
2015-04-08,43.333333333333336,12
2015-04-09,48.666666666666664,12
2015-04-10,52.333333333333336,12
2015-04-11,65.23076923076923,13
2015-04-12,59.53846153846154,13
2015-04-13,55.53846153846154,13
2015-04-14,45.666666666666664,12
2015-04-15,55.666666666666664,12
2015-04-16,72.75,12
2015-04-17,69.75,12
2015-04-18,71.75,12
2015-04-19,41.916666666666664,12
2015-04-20,45.583333333333336,12
2015-04-21,59.666666666666664,12
2015-04-22,63.416666666666664,12
2015-04-23,51.666666666666664,12
2015-04-24,46.916666666666664,12
2015-04-25,56.666666666666664,12
2015-04-26,43.07692307692308,13
2015-04-27,54.84615384615385,13
2015-04-28,50.84615384615385,13
2015-04-29,41.833333333333336,12
2015-04-30,62.833333333333336,12
2015-05-01,51,12
2015-05-02,65.16666666666667,12
2015-05-03,51,12
2015-05-04,31,12
2015-05-05,39.833333333333336,12
2015-05-06,50,12
2015-05-07,60,12
2015-05-08,42.833333333333336,12
2015-05-09,56.166666666666664,12
2015-05-10,43.166666666666664,12
2015-05-11,37.30769230769231,13
2015-05-12,51.15384615384615,13
2015-05-13,49.333333333333336,12
2015-05-14,30.166666666666668,12
2015-05-15,77.5,12
2015-05-16,56.333333333333336,12
2015-05-17,51.333333333333336,12
2015-05-18,34.083333333333336,12
2015-05-19,54.333333333333336,12
2015-05-20,54.333333333333336,12
2015-05-21,52.416666666666664,12
2015-05-22,65.58333333333333,12
2015-05-23,50.333333333333336,12
