time,value,n
2014-01-05,52,1
2014-01-12,60,1
2014-01-19,57,1
2014-01-26,56,1
2014-02-02,57,1
2014-02-09,65,1
2014-02-16,54,1
2014-02-23,46,1
2014-03-02,62,1
2014-03-09,59,1
2014-03-16,60,1
2014-03-23,60,2
2014-03-30,53,2
2014-04-06,56,2
2014-04-13,64,2
2014-04-20,57,2
2014-04-27,64,2
2014-05-04,50,2
2014-05-11,61,2
2014-05-18,49,2
2014-05-25,70,2
2014-06-01,64,2
2014-06-08,56,3
2014-06-15,69,3
2014-06-22,57,3
2014-06-29,63,3
2014-07-06,69,3
2014-07-13,68,3
2014-07-20,76,3
2014-07-27,67,3
2014-08-03,75,3
2014-08-10,73,3
2014-08-17,77,3
2014-08-24,66,4
2014-08-31,68,4
2014-09-07,61,4
2014-09-14,61,4
2014-09-21,64,4
2014-09-28,82,4
2014-10-05,66,4
2014-10-12,70,4
2014-10-19,59,4
2014-10-26,60,4
2014-11-02,67,4
2014-11-09,58,5
2014-11-16,50,5
2014-11-23,73,5
2014-11-30,82,5
2014-12-07,89,5
2014-12-14,72,5
2014-12-21,85,5
2014-12-28,66,5
2015-01-04,53,5
2015-01-11,59,5
2015-01-18,55,5
2015-01-25,57,6
2015-02-01,59,6
2015-02-08,60,6
2015-02-15,59,6
2015-02-22,55,6
2015-03-01,61,6
2015-03-08,61,6
2015-03-15,85,6
2015-03-22,78,6
2015-03-29,86,6
2015-04-05,70,6
2015-04-12,75,7
2015-04-19,65,7
2015-04-26,66,7
2015-05-03,59,7
2015-05-10,60,7
2015-05-17,63,7
2015-05-24,61,7
2015-05-31,60,7
2015-06-07,55,7
2015-06-14,55,7
2015-06-21,72,7
2015-06-28,58,8
2015-07-05,66,8
2015-07-12,66,8
2015-07-19,60,8
2015-07-26,66,8
2015-08-02,61,8
2015-08-09,69,8
2015-08-16,79,8
2015-08-23,79,8
2015-08-30,84,8
2015-09-06,64,8
2015-09-13,67,9
2015-09-20,63,9
2015-09-27,73,9
2015-10-04,68,9
2015-10-11,65,9
2015-10-18,59,9
2015-10-25,62,9
2015-11-01,60,9
2015-11-08,69,9
2015-11-15,63,9
2015-11-22,68,9
2015-11-29,77,10
2015-12-06,97,10
2015-12-13,90,10
2015-12-20,83,10
2015-12-27,82,10
2016-01-03,78,10
2016-01-10,65,10
2016-01-17,52,10
2016-01-24,52,10
2016-01-31,49,10
2016-02-07,49,10
2016-02-14,54,11
2016-02-21,51,11
2016-02-28,62,11
2016-03-06,61,11
2016-03-13,62,11
2016-03-20,62,11
2016-03-27,50,11
2016-04-03,66,11
2016-04-10,49,11
2016-04-17,57,11
2016-04-24,54,11
2016-05-01,68,12
2016-05-08,63,12
2016-05-15,52,12
2016-05-22,59,12
2016-05-29,60,12
2016-06-05,49,12
2016-06-12,54,12
2016-06-19,46,12
2016-06-26,57,12
2016-07-03,64,12
2016-07-10,66,12
2016-07-17,63,13
2016-07-24,59,13
2016-07-31,73,13
2016-08-07,73,13
2016-08-14,65,13
2016-08-21,72,13
2016-08-28,72,13
2016-09-04,67,13
2016-09-11,64,13
2016-09-18,76,13
2016-09-25,72,13
2016-10-02,92,14
2016-10-09,59,14
2016-10-16,64,14
2016-10-23,71,14
2016-10-30,81,14
2016-11-06,63,14
2016-11-13,54,14
2016-11-20,57,14
2016-11-27,68,14
2016-12-04,81,14
2016-12-11,78,14
2016-12-18,83,15
2016-12-25,64,15
2017-01-01,57,15
2017-01-08,49,15
2017-01-15,44,15
2017-01-22,50,15
2017-01-29,44,15
2017-02-05,50,15
2017-02-12,53,15
2017-02-19,49,15
2017-02-26,51,15
2017-03-05,60,16
2017-03-12,58,16
2017-03-19,51,16
2017-03-26,56,16
2017-04-02,73,16
2017-04-09,59,16
2017-04-16,50,16
2017-04-23,51,16
2017-04-30,66,16
2017-05-07,53,16
2017-05-14,50,16
2017-05-21,65,16
2017-05-28,54,16
2017-06-04,63,16
2017-06-11,56,16
2017-06-18,55,16
2017-06-25,67,16
2017-07-02,64,16
2017-07-09,70,16
2017-07-16,69,16
2017-07-23,78,16
2017-07-30,69,16
2017-08-06,80,16
2017-08-13,81,16
2017-08-20,74,16
2017-08-27,66,16
2017-09-03,84,16
2017-09-10,70,16
2017-09-17,81,16
2017-09-24,77,16
2017-10-01,82,16
2017-10-08,64,16
2017-10-15,58,16
2017-10-22,69,16
2017-10-29,73,16
2017-11-05,65,16
2017-11-12,60,16
2017-11-19,68,16
2017-11-26,64,16
2017-12-03,93,16
2017-12-10,92,16
2017-12-17,84,16
2017-12-24,73,16
2017-12-31,58,16
2018-01-07,49,16
2018-01-14,50,16
2018-01-21,49,16
2018-01-28,52,16
2018-02-04,57,16
2018-02-11,55,16
2018-02-18,57,16
2018-02-25,53,16
2018-03-04,56,16
2018-03-11,67,16
2018-03-18,64,16
2018-03-25,80,16
2018-04-01,64,16
2018-04-08,55,16
2018-04-15,52,16
2018-04-22,56,16
2018-04-29,65,16
2018-05-06,52,16
2018-05-13,49,16
2018-05-20,53,16
