time,value,n
2006-01-01,0,1
2006-01-08,0,1
2006-01-15,0,1
2006-01-22,47,1
2006-01-29,0,1
2006-02-05,0,1
2006-02-12,0,1
2006-02-19,0,1
2006-02-26,46,1
2006-03-05,90,1
2006-03-12,0,1
2006-03-19,0,2
2006-03-26,0,2
2006-04-02,24,2
2006-04-09,0,2
2006-04-16,0,2
2006-04-23,65,2
2006-04-30,0,2
2006-05-07,45,2
2006-05-14,0,2
2006-05-21,0,2
2006-05-28,0,2
2006-06-04,0,3
2006-06-11,16.333333333333332,3
2006-06-18,30,3
2006-06-25,0,3
2006-07-02,16.666666666666668,3
2006-07-09,0,3
2006-07-16,33.333333333333336,3
2006-07-23,0,3
2006-07-30,47.666666666666664,3
2006-08-06,57,3
2006-08-13,0,3
2006-08-20,25,4
2006-08-27,13.25,4
2006-09-03,66,4
2006-09-10,0,4
2006-09-17,64.25,4
2006-09-24,50,4
2006-10-01,0,4
2006-10-08,0,4
2006-10-15,0,4
2006-10-22,33,4
2006-10-29,19,4
2006-11-05,0,5
2006-11-12,69.6,5
2006-11-19,22.6,5
2006-11-26,7.4,5
2006-12-03,53.4,5
2006-12-10,0,5
2006-12-17,24.4,5
2006-12-24,0,5
2006-12-31,30.8,5
2007-01-07,0,5
2007-01-14,13.6,5
2007-01-21,38.666666666666664,6
2007-01-28,20.333333333333332,6
2007-02-04,5.333333333333333,6
2007-02-11,70,6
2007-02-18,0,6
2007-02-25,56.833333333333336,6
2007-03-04,15.833333333333334,6
2007-03-11,0,6
2007-03-18,16.666666666666668,6
2007-03-25,5.5,6
2007-04-01,12.166666666666666,6
2007-04-08,22.285714285714285,7
2007-04-15,72.28571428571429,7
2007-04-22,14.142857142857142,7
2007-04-29,19,7
2007-05-06,17,7
2007-05-13,14.428571428571429,7
2007-05-20,18.428571428571427,7
2007-05-27,12.857142857142858,7
2007-06-03,4.571428571428571,7
2007-06-10,34.285714285714285,7
2007-06-17,32.285714285714285,7
2007-06-24,48.75,8
2007-07-01,41,8
2007-07-08,0,8
2007-07-15,5.375,8
2007-07-22,20.5,8
2007-07-29,35.875,8
2007-08-05,16.125,8
2007-08-12,12.875,8
2007-08-19,7,8
2007-08-26,42.625,8
2007-09-02,41.5,8
2007-09-09,0,9
2007-09-16,10,9
2007-09-23,23.22222222222222,9
2007-09-30,16.77777777777778,9
2007-10-07,39.44444444444444,9
2007-10-14,0,9
2007-10-21,0,9
2007-10-28,0,9
2007-11-04,5.777777777777778,9
2007-11-11,2.6666666666666665,9
2007-11-18,15.88888888888889,9
2007-11-25,14.3,10
2007-12-02,30.4,10
2007-12-09,51.5,10
2007-12-16,0,10
2007-12-23,28.7,10
2007-12-30,53.1,10
2008-01-06,9.1,10
2008-01-13,32.2,10
2008-01-20,22.9,10
