time,value,n
2006-01-01,0,1
2006-01-08,0,1
2006-01-15,0,1
2006-01-22,0,1
2006-01-29,0,1
2006-02-05,0,1
2006-02-12,0,1
2006-02-19,0,1
2006-02-26,18,1
2006-03-05,35,1
2006-03-12,34,1
2006-03-19,0,2
2006-03-26,0,2
2006-04-02,0,2
2006-04-09,40,2
2006-04-16,0,2
2006-04-23,0,2
2006-04-30,0,2
2006-05-07,0,2
2006-05-14,0,2
2006-05-21,0,2
2006-05-28,0,2
2006-06-04,0,3
2006-06-11,0,3
2006-06-18,18,3
2006-06-25,37,3
2006-07-02,0,3
2006-07-09,20,3
2006-07-16,0,3
2006-07-23,40,3
2006-07-30,0,3
2006-08-06,0,3
2006-08-13,21,3
2006-08-20,18,4
2006-08-27,0,4
2006-09-03,0,4
2006-09-10,0,4
2006-09-17,32,4
2006-09-24,16,4
2006-10-01,16,4
2006-10-08,0,4
2006-10-15,0,4
2006-10-22,0,4
2006-10-29,16,4
2006-11-05,0,5
2006-11-12,14,5
2006-11-19,14,5
2006-11-26,0,5
2006-12-03,15,5
2006-12-10,14,5
2006-12-17,0,5
2006-12-24,0,5
2006-12-31,0,5
2007-01-07,13,5
2007-01-14,0,5
2007-01-21,0,6
2007-01-28,13,6
2007-02-04,0,6
2007-02-11,0,6
2007-02-18,0,6
2007-02-25,12,6
2007-03-04,0,6
2007-03-11,13,6
2007-03-18,24,6
2007-03-25,0,6
2007-04-01,42,6
2007-04-08,0,7
2007-04-15,13,7
2007-04-22,0,7
2007-04-29,0,7
2007-05-06,0,7
2007-05-13,0,7
2007-05-20,0,7
2007-05-27,12,7
2007-06-03,0,7
2007-06-10,0,7
2007-06-17,12,7
2007-06-24,0,8
2007-07-01,25,8
2007-07-08,0,8
2007-07-15,14,8
2007-07-22,13,8
2007-07-29,0,8
2007-08-05,13,8
2007-08-12,0,8
2007-08-19,12,8
2007-08-26,12,8
2007-09-02,22,8
2007-09-09,11,9
2007-09-16,22,9
2007-09-23,0,9
2007-09-30,11,9
2007-10-07,10,9
2007-10-14,21,9
2007-10-21,21,9
2007-10-28,11,9
2007-11-04,10,9
2007-11-11,17,9
2007-11-18,10,9
2007-11-25,0,10
2007-12-02,10,10
2007-12-09,19,10
2007-12-16,11,10
2007-12-23,43,10
2007-12-30,36,10
2008-01-06,28,10
2008-01-13,27,10
2008-01-20,27,10
2008-01-27,18,10
2008-02-03,9,10
2008-02-10,28,11
2008-02-17,0,11
2008-02-24,27,11
2008-03-02,52,11
2008-03-09,0,11
2008-03-16,18,11
2008-03-23,19,11
2008-03-30,18,11
2008-04-06,18,11
2008-04-13,18,11
2008-04-20,0,11
2008-04-27,20,12
2008-05-04,10,12
2008-05-11,0,12
2008-05-18,9,12
2008-05-25,28,12
2008-06-01,26,12
